[1220, 755]
[paragraph, [66.0, 62.0, 628.0, 18.0], qfBC5lujxt, 6470128]
[paragraph, [66.0, 80.0, 628.0, 18.0], qfBC5lujxt, 6470128]
[paragraph, [66.0, 98.0, 628.0, 18.0], qfBC5lujxt, 6470128]
[paragraph, [66.0, 116.0, 628.0, 18.0], qfBC5lujxt, 6470128]
[paragraph, [66.0, 134.0, 628.0, 18.0], qfBC5lujxt, 6470128]
[paragraph, [66.0, 152.0, 628.0, 18.0], qfBC5lujxt, 6470128]
[paragraph, [66.0, 170.0, 628.0, 18.0], qfBC5lujxt, 6470128]
[paragraph, [66.0, 188.0, 628.0, 18.0], qfBC5lujxt, 6470128]
[paragraph, [65.0, 216.0, 628.0, 18.0], lDKsqs6-rQ, 6470128]
[paragraph, [65.0, 234.0, 628.0, 18.0], lDKsqs6-rQ, 6470128]
[paragraph, [65.0, 252.0, 628.0, 18.0], lDKsqs6-rQ, 6470128]
[paragraph, [64.0, 288.0, 627.0, 18.0], 1-tsF7Lw7P, 6470128]
[paragraph, [64.0, 306.0, 627.0, 18.0], 1-tsF7Lw7P, 6470128]
[paragraph, [64.0, 324.0, 627.0, 18.0], 1-tsF7Lw7P, 6470128]
[paragraph, [64.0, 355.0, 627.0, 18.0], y25zjw1xY1, 6470128]
[paragraph, [64.0, 373.0, 627.0, 18.0], y25zjw1xY1, 6470128]
[paragraph, [64.0, 391.0, 627.0, 18.0], y25zjw1xY1, 6470128]
[paragraph, [64.0, 409.0, 627.0, 18.0], y25zjw1xY1, 6470128]
[paragraph, [64.0, 427.0, 627.0, 18.0], y25zjw1xY1, 6470128]
[paragraph, [64.0, 445.0, 627.0, 18.0], y25zjw1xY1, 6470128]
[paragraph, [64.0, 463.0, 627.0, 18.0], y25zjw1xY1, 6470128]
[paragraph, [64.0, 481.0, 627.0, 18.0], y25zjw1xY1, 6470128]
[paragraph, [64.0, 499.0, 627.0, 18.0], y25zjw1xY1, 6470128]
[paragraph, [64.0, 517.0, 627.0, 18.0], y25zjw1xY1, 6470128]
[paragraph, [64.0, 535.0, 627.0, 18.0], y25zjw1xY1, 6470128]
[paragraph, [66.0, 568.0, 627.0, 18.0], l5OASdDG0T, 6470128]
[paragraph, [66.0, 586.0, 627.0, 18.0], l5OASdDG0T, 6470128]
[paragraph, [66.0, 604.0, 627.0, 18.0], l5OASdDG0T, 6470128]
[paragraph, [66.0, 622.0, 627.0, 18.0], l5OASdDG0T, 6470128]
[paragraph, [66.0, 640.0, 627.0, 18.0], l5OASdDG0T, 6470128]
[paragraph, [64.0, 663.0, 629.0, 18.0], VAVx7Jz8NC, 6470128]
[paragraph, [64.0, 681.0, 629.0, 18.0], VAVx7Jz8NC, 6470128]
[paragraph, [64.0, 699.0, 629.0, 18.0], VAVx7Jz8NC, 6470128]
[paragraph, [64.0, 717.0, 629.0, 18.0], VAVx7Jz8NC, 6470128]
[paragraph, [64.0, 735.0, 629.0, 18.0], VAVx7Jz8NC, 6470128]
[paragraph, [64.0, 760.0, 627.0, 18.0], F9LTyizGbH, 6470128]
[paragraph, [64.0, 778.0, 627.0, 18.0], F9LTyizGbH, 6470128]
[paragraph, [64.0, 796.0, 627.0, 18.0], F9LTyizGbH, 6470128]
[paragraph, [64.0, 814.0, 627.0, 18.0], F9LTyizGbH, 6470128]
[paragraph, [64.0, 832.0, 627.0, 18.0], F9LTyizGbH, 6470128]
[paragraph, [64.0, 850.0, 627.0, 18.0], F9LTyizGbH, 6470128]
[paragraph, [64.0, 868.0, 627.0, 18.0], F9LTyizGbH, 6470128]
[paragraph, [64.0, 886.0, 627.0, 18.0], F9LTyizGbH, 6470128]
[paragraph, [89.0, 915.0, 484.0, 18.0], KBaLNkKcom, 6470128]
[paragraph, [63.0, 953.0, 633.0, 18.0], Gtv1L-PmwC, 6470128]
[paragraph, [63.0, 971.0, 633.0, 18.0], Gtv1L-PmwC, 6470128]
[paragraph, [63.0, 989.0, 633.0, 18.0], Gtv1L-PmwC, 6470128]
[paragraph, [63.0, 1007.0, 633.0, 18.0], Gtv1L-PmwC, 6470128]
[paragraph, [60.0, 1049.0, 630.0, 18.0], 9qu8Ljwfdg, 6470128]
[paragraph, [60.0, 1067.0, 630.0, 18.0], 9qu8Ljwfdg, 6470128]
[paragraph, [60.0, 1085.0, 630.0, 18.0], 9qu8Ljwfdg, 6470128]
