[1787, 1218]
[paragraph, [106.0, 112.0, 991.0, 36.0], shoonya_1sVTS0YAI51MSN, 5651257]
[paragraph, [106.0, 148.0, 991.0, 36.0], shoonya_1sVTS0YAI51MSN, 5651257]
[paragraph, [106.0, 184.0, 991.0, 36.0], shoonya_1sVTS0YAI51MSN, 5651257]
[paragraph, [106.0, 220.0, 991.0, 36.0], shoonya_1sVTS0YAI51MSN, 5651257]
[paragraph, [106.0, 256.0, 991.0, 36.0], shoonya_1sVTS0YAI51MSN, 5651257]
[paragraph, [106.0, 292.0, 991.0, 36.0], shoonya_1sVTS0YAI51MSN, 5651257]
[paragraph, [365.0, 344.0, 481.0, 36.0], shoonya_5s0A2NQNG272NX, 5651257]
[ordered-list, [80.0, 386.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 422.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 458.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 494.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 530.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 566.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 602.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 638.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 674.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 710.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 746.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 782.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 818.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 854.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 890.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 926.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 962.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 998.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1034.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1070.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1106.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1142.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1178.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1214.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1250.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1286.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1322.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1358.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1394.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1430.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1466.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1502.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[ordered-list, [80.0, 1538.0, 1047.0, 36.0], shoonya_0sQEP5QZUMJS8E, 5651257]
[footnote, [476.0, 1615.0, 229.0, 36.0], V481ul90bW, 5651257]
