[894, 612]
[section-title, [229.0, 118.0, 218.0, 30.0], shoonya_1sO932TQ8D8B7V, 6460831]
[paragraph, [162.0, 171.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 189.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 207.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 225.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 243.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 261.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 279.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 297.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 315.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 333.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 351.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 369.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 387.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 405.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 423.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 441.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 459.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 477.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 495.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 513.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 531.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 549.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 567.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 585.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 603.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 621.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 639.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 657.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 675.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 693.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
[paragraph, [162.0, 711.0, 351.0, 18.0], shoonya_0sSURL5QWJK0G9, 6460831]
