[720, 1728]
[section-title, [899.0, 24.0, 418.0, 30.0], shoonya_9sBTDMKR0LK1MU, 5656362]
[section-title, [899.0, 54.0, 418.0, 30.0], shoonya_9sBTDMKR0LK1MU, 5656362]
[folio, [54.0, 58.0, 610.0, 18.0], shO8KZYC7s, 5656362]
[folio, [54.0, 76.0, 610.0, 18.0], shO8KZYC7s, 5656362]
[folio, [54.0, 94.0, 610.0, 18.0], shO8KZYC7s, 5656362]
[paragraph, [901.0, 102.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 120.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 138.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 156.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 174.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 192.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 210.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 228.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 246.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 264.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 282.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 300.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 318.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 336.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 354.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [901.0, 372.0, 774.0, 18.0], shoonya_16sH4FKZ37TKYI, 5656362]
[paragraph, [57.0, 123.0, 755.0, 18.0], shoonya_5s97X44KLID8Z2, 5656362]
[paragraph, [57.0, 141.0, 755.0, 18.0], shoonya_5s97X44KLID8Z2, 5656362]
[paragraph, [57.0, 159.0, 755.0, 18.0], shoonya_5s97X44KLID8Z2, 5656362]
[figure-caption, [1281.0, 514.0, 176.0, 18.0], TsEvAMW0jL, 5656362]
[figure-caption, [899.0, 661.0, 126.0, 18.0], -PTlQlLkKc, 5656362]
[figure-caption, [184.0, 663.0, 503.0, 18.0], shoonya_4s9UCIXOFNBDAT, 5656362]
