[1755, 1240]
[sub-section-title, [218.0, 168.0, 799.0, 36.0], shoonya_11sGTOEJN3GK6J, 6477938]
[paragraph, [91.0, 302.0, 1053.0, 36.0], shoonya_3s50FHNZKJKK1G, 6477938]
[paragraph, [91.0, 338.0, 1053.0, 36.0], shoonya_3s50FHNZKJKK1G, 6477938]
[paragraph, [91.0, 374.0, 1053.0, 36.0], shoonya_3s50FHNZKJKK1G, 6477938]
[paragraph, [91.0, 410.0, 1053.0, 36.0], shoonya_3s50FHNZKJKK1G, 6477938]
[paragraph, [150.0, 610.0, 1002.0, 36.0], shoonya_0sBBHT5VX0HK59, 6477938]
[paragraph, [150.0, 646.0, 1002.0, 36.0], shoonya_0sBBHT5VX0HK59, 6477938]
[paragraph, [150.0, 682.0, 1002.0, 36.0], shoonya_0sBBHT5VX0HK59, 6477938]
[paragraph, [150.0, 718.0, 1002.0, 36.0], shoonya_0sBBHT5VX0HK59, 6477938]
[paragraph, [150.0, 754.0, 1002.0, 36.0], shoonya_0sBBHT5VX0HK59, 6477938]
[paragraph, [150.0, 790.0, 1002.0, 36.0], shoonya_0sBBHT5VX0HK59, 6477938]
[unordered-list, [164.0, 975.0, 870.0, 36.0], eb46-CLkDk, 6477938]
[unordered-list, [164.0, 1011.0, 870.0, 36.0], eb46-CLkDk, 6477938]
[paragraph, [152.0, 1189.0, 994.0, 36.0], shoonya_2s3R06589TLFMQ, 6477938]
[paragraph, [152.0, 1225.0, 994.0, 36.0], shoonya_2s3R06589TLFMQ, 6477938]
[paragraph, [152.0, 1261.0, 994.0, 36.0], shoonya_2s3R06589TLFMQ, 6477938]
[paragraph, [152.0, 1297.0, 994.0, 36.0], shoonya_2s3R06589TLFMQ, 6477938]
[paragraph, [152.0, 1333.0, 994.0, 36.0], shoonya_2s3R06589TLFMQ, 6477938]
[paragraph, [150.0, 1411.0, 167.0, 36.0], shoonya_7s7LSBD8RTTEG2, 6477938]
[paragraph, [152.0, 1483.0, 988.0, 36.0], shoonya_1sXIEI7MFHIO1V, 6477938]
[paragraph, [152.0, 1519.0, 988.0, 36.0], shoonya_1sXIEI7MFHIO1V, 6477938]
[paragraph, [152.0, 1555.0, 988.0, 36.0], shoonya_1sXIEI7MFHIO1V, 6477938]
[paragraph, [152.0, 1591.0, 988.0, 36.0], shoonya_1sXIEI7MFHIO1V, 6477938]
