[1725, 1313]
[paragraph, [116.0, 139.0, 532.0, 36.0], shoonya_0sGQBQK60OHDEP, 5771389]
[paragraph, [116.0, 175.0, 532.0, 36.0], shoonya_0sGQBQK60OHDEP, 5771389]
[paragraph, [116.0, 211.0, 532.0, 36.0], shoonya_0sGQBQK60OHDEP, 5771389]
[paragraph, [116.0, 247.0, 532.0, 36.0], shoonya_0sGQBQK60OHDEP, 5771389]
[paragraph, [116.0, 283.0, 532.0, 36.0], shoonya_0sGQBQK60OHDEP, 5771389]
[paragraph, [116.0, 319.0, 532.0, 36.0], shoonya_0sGQBQK60OHDEP, 5771389]
[paragraph, [116.0, 355.0, 532.0, 36.0], shoonya_0sGQBQK60OHDEP, 5771389]
[paragraph, [116.0, 391.0, 532.0, 36.0], shoonya_0sGQBQK60OHDEP, 5771389]
[paragraph, [116.0, 427.0, 532.0, 36.0], shoonya_0sGQBQK60OHDEP, 5771389]
[paragraph, [116.0, 463.0, 532.0, 36.0], shoonya_0sGQBQK60OHDEP, 5771389]
[paragraph, [658.0, 144.0, 537.0, 36.0], shoonya_5sTZDOL1TTRV15, 5771389]
[paragraph, [658.0, 180.0, 537.0, 36.0], shoonya_5sTZDOL1TTRV15, 5771389]
[paragraph, [658.0, 216.0, 537.0, 36.0], shoonya_5sTZDOL1TTRV15, 5771389]
[paragraph, [658.0, 252.0, 537.0, 36.0], shoonya_5sTZDOL1TTRV15, 5771389]
[paragraph, [658.0, 288.0, 537.0, 36.0], shoonya_5sTZDOL1TTRV15, 5771389]
[paragraph, [658.0, 324.0, 537.0, 36.0], shoonya_5sTZDOL1TTRV15, 5771389]
[paragraph, [658.0, 360.0, 537.0, 36.0], shoonya_5sTZDOL1TTRV15, 5771389]
[paragraph, [658.0, 396.0, 537.0, 36.0], shoonya_5sTZDOL1TTRV15, 5771389]
[paragraph, [658.0, 432.0, 537.0, 36.0], shoonya_5sTZDOL1TTRV15, 5771389]
[paragraph, [661.0, 484.0, 534.0, 36.0], shoonya_4sHP18I3HKKS4S, 5771389]
[paragraph, [661.0, 520.0, 534.0, 36.0], shoonya_4sHP18I3HKKS4S, 5771389]
[paragraph, [661.0, 556.0, 534.0, 36.0], shoonya_4sHP18I3HKKS4S, 5771389]
[paragraph, [661.0, 592.0, 534.0, 36.0], shoonya_4sHP18I3HKKS4S, 5771389]
[paragraph, [661.0, 628.0, 534.0, 36.0], shoonya_4sHP18I3HKKS4S, 5771389]
[paragraph, [661.0, 664.0, 534.0, 36.0], shoonya_4sHP18I3HKKS4S, 5771389]
[paragraph, [661.0, 700.0, 534.0, 36.0], shoonya_4sHP18I3HKKS4S, 5771389]
[paragraph, [661.0, 736.0, 534.0, 36.0], shoonya_4sHP18I3HKKS4S, 5771389]
[paragraph, [661.0, 772.0, 534.0, 36.0], shoonya_4sHP18I3HKKS4S, 5771389]
[paragraph, [661.0, 808.0, 534.0, 36.0], shoonya_4sHP18I3HKKS4S, 5771389]
[paragraph, [661.0, 844.0, 534.0, 36.0], shoonya_4sHP18I3HKKS4S, 5771389]
[paragraph, [661.0, 880.0, 534.0, 36.0], shoonya_4sHP18I3HKKS4S, 5771389]
[paragraph, [117.0, 517.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 553.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 589.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 625.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 661.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 697.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 733.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 769.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 805.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 841.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 877.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 913.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 949.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 985.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 1021.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 1057.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 1093.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 1129.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 1165.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 1201.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[paragraph, [117.0, 1237.0, 531.0, 36.0], shoonya_1s1T586M4449MV, 5771389]
[section-title, [642.0, 921.0, 276.0, 49.5], shoonya_6sG5XTULCG8DZ4, 5771389]
[paragraph, [657.0, 966.0, 536.0, 36.0], shoonya_2sUFOD34XOU52C, 5771389]
[paragraph, [657.0, 1002.0, 536.0, 36.0], shoonya_2sUFOD34XOU52C, 5771389]
[paragraph, [657.0, 1038.0, 536.0, 36.0], shoonya_2sUFOD34XOU52C, 5771389]
[paragraph, [657.0, 1074.0, 536.0, 36.0], shoonya_2sUFOD34XOU52C, 5771389]
[paragraph, [657.0, 1110.0, 536.0, 36.0], shoonya_2sUFOD34XOU52C, 5771389]
[paragraph, [657.0, 1146.0, 536.0, 36.0], shoonya_2sUFOD34XOU52C, 5771389]
