[792, 612]
[contact-info, [243.0, 196.0, 125.0, 18.0], -B7MBVGPFo, 6516615]
[contact-info, [243.0, 214.0, 125.0, 18.0], -B7MBVGPFo, 6516615]
[ordered-list, [228.0, 260.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 278.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 296.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 314.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 332.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 350.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 368.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 386.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 404.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 422.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 440.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 458.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 476.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[ordered-list, [228.0, 494.0, 155.0, 18.0], 1DGdlmpyxc, 6516615]
[paragraph, [409.0, 263.0, 152.0, 18.0], hnJtHm9kkT, 6516615]
[paragraph, [409.0, 281.0, 152.0, 18.0], hnJtHm9kkT, 6516615]
[paragraph, [409.0, 299.0, 152.0, 18.0], hnJtHm9kkT, 6516615]
[paragraph, [409.0, 317.0, 152.0, 18.0], hnJtHm9kkT, 6516615]
[paragraph, [409.0, 335.0, 152.0, 18.0], hnJtHm9kkT, 6516615]
[paragraph, [409.0, 353.0, 152.0, 18.0], hnJtHm9kkT, 6516615]
[paragraph, [409.0, 371.0, 152.0, 18.0], hnJtHm9kkT, 6516615]
[paragraph, [409.0, 389.0, 152.0, 18.0], hnJtHm9kkT, 6516615]
[paragraph, [50.0, 304.0, 149.0, 18.0], EjHW7juQy0, 6516615]
[paragraph, [50.0, 322.0, 149.0, 18.0], EjHW7juQy0, 6516615]
[paragraph, [50.0, 340.0, 149.0, 18.0], EjHW7juQy0, 6516615]
[paragraph, [50.0, 358.0, 149.0, 18.0], EjHW7juQy0, 6516615]
[paragraph, [50.0, 376.0, 149.0, 18.0], EjHW7juQy0, 6516615]
[paragraph, [50.0, 394.0, 149.0, 18.0], EjHW7juQy0, 6516615]
[paragraph, [50.0, 412.0, 149.0, 18.0], EjHW7juQy0, 6516615]
[paragraph, [50.0, 430.0, 149.0, 18.0], EjHW7juQy0, 6516615]
[paragraph, [50.0, 448.0, 149.0, 18.0], EjHW7juQy0, 6516615]
[paragraph, [50.0, 466.0, 149.0, 18.0], EjHW7juQy0, 6516615]
[paragraph, [408.0, 415.0, 152.0, 18.0], nKJRrbUO70, 6516615]
[paragraph, [408.0, 433.0, 152.0, 18.0], nKJRrbUO70, 6516615]
[paragraph, [408.0, 451.0, 152.0, 18.0], nKJRrbUO70, 6516615]
[paragraph, [408.0, 469.0, 152.0, 18.0], nKJRrbUO70, 6516615]
[paragraph, [408.0, 487.0, 152.0, 18.0], nKJRrbUO70, 6516615]
[paragraph, [408.0, 505.0, 152.0, 18.0], nKJRrbUO70, 6516615]
[paragraph, [408.0, 523.0, 152.0, 18.0], nKJRrbUO70, 6516615]
[paragraph, [408.0, 541.0, 152.0, 18.0], nKJRrbUO70, 6516615]
[ordered-list, [50.0, 493.0, 149.0, 18.0], JRpdX51gty, 6516615]
[ordered-list, [50.0, 511.0, 149.0, 18.0], JRpdX51gty, 6516615]
[ordered-list, [50.0, 529.0, 149.0, 18.0], JRpdX51gty, 6516615]
[ordered-list, [50.0, 547.0, 149.0, 18.0], JRpdX51gty, 6516615]
[ordered-list, [50.0, 565.0, 149.0, 18.0], JRpdX51gty, 6516615]
[ordered-list, [50.0, 583.0, 149.0, 18.0], JRpdX51gty, 6516615]
[ordered-list, [50.0, 601.0, 149.0, 18.0], JRpdX51gty, 6516615]
[ordered-list, [50.0, 619.0, 149.0, 18.0], JRpdX51gty, 6516615]
[ordered-list, [50.0, 637.0, 149.0, 18.0], JRpdX51gty, 6516615]
[ordered-list, [50.0, 655.0, 149.0, 18.0], JRpdX51gty, 6516615]
[ordered-list, [50.0, 673.0, 149.0, 18.0], JRpdX51gty, 6516615]
[paragraph, [229.0, 523.0, 153.0, 18.0], efyTrLtGEM, 6516615]
[paragraph, [229.0, 541.0, 153.0, 18.0], efyTrLtGEM, 6516615]
[paragraph, [229.0, 559.0, 153.0, 18.0], efyTrLtGEM, 6516615]
[paragraph, [229.0, 577.0, 153.0, 18.0], efyTrLtGEM, 6516615]
[paragraph, [229.0, 595.0, 153.0, 18.0], efyTrLtGEM, 6516615]
[paragraph, [229.0, 613.0, 153.0, 18.0], efyTrLtGEM, 6516615]
[paragraph, [229.0, 631.0, 153.0, 18.0], efyTrLtGEM, 6516615]
[paragraph, [229.0, 649.0, 153.0, 18.0], efyTrLtGEM, 6516615]
[paragraph, [229.0, 667.0, 153.0, 18.0], efyTrLtGEM, 6516615]
[paragraph, [408.0, 563.0, 153.0, 18.0], pK1IeASgMk, 6516615]
[paragraph, [408.0, 581.0, 153.0, 18.0], pK1IeASgMk, 6516615]
[paragraph, [407.0, 628.0, 154.0, 18.0], yeXH863HBX, 6516615]
[paragraph, [407.0, 646.0, 154.0, 18.0], yeXH863HBX, 6516615]
[paragraph, [407.0, 664.0, 154.0, 18.0], yeXH863HBX, 6516615]
