[1606, 1056]
[folio, [439.0, 102.0, 159.0, 36.0], shoonya_2sX4KQ2YJZWQF7, 5683931]
[paragraph, [102.0, 154.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 190.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 226.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 262.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 298.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 334.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 370.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 406.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 442.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 478.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 514.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 550.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 586.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [102.0, 622.0, 847.0, 36.0], shoonya_0sHWA31VDD4AU0, 5683931]
[paragraph, [241.0, 694.0, 488.0, 36.0], shoonya_3sTDESTF295OZ0, 5683931]
[paragraph, [241.0, 730.0, 488.0, 36.0], shoonya_3sTDESTF295OZ0, 5683931]
[paragraph, [103.0, 790.0, 854.0, 36.0], shoonya_1s7HZKVN0591WS, 5683931]
[paragraph, [103.0, 826.0, 854.0, 36.0], shoonya_1s7HZKVN0591WS, 5683931]
[paragraph, [103.0, 862.0, 854.0, 36.0], shoonya_1s7HZKVN0591WS, 5683931]
[paragraph, [103.0, 898.0, 854.0, 36.0], shoonya_1s7HZKVN0591WS, 5683931]
[paragraph, [103.0, 934.0, 854.0, 36.0], shoonya_1s7HZKVN0591WS, 5683931]
[paragraph, [103.0, 970.0, 854.0, 36.0], shoonya_1s7HZKVN0591WS, 5683931]
[paragraph, [103.0, 1006.0, 854.0, 36.0], shoonya_1s7HZKVN0591WS, 5683931]
[paragraph, [103.0, 1042.0, 854.0, 36.0], shoonya_1s7HZKVN0591WS, 5683931]
[paragraph, [103.0, 1078.0, 854.0, 36.0], shoonya_1s7HZKVN0591WS, 5683931]
[paragraph, [103.0, 1114.0, 854.0, 36.0], shoonya_1s7HZKVN0591WS, 5683931]
[paragraph, [103.0, 1150.0, 854.0, 36.0], shoonya_1s7HZKVN0591WS, 5683931]
[paragraph, [103.0, 1186.0, 854.0, 36.0], shoonya_1s7HZKVN0591WS, 5683931]
[paragraph, [221.0, 1237.0, 603.0, 36.0], shoonya_5sZVUIHV0YQ8R2, 5683931]
[paragraph, [98.0, 1287.0, 858.0, 36.0], 81nvSsDAJI, 5683931]
[paragraph, [98.0, 1323.0, 858.0, 36.0], 81nvSsDAJI, 5683931]
[paragraph, [98.0, 1359.0, 858.0, 36.0], 81nvSsDAJI, 5683931]
[paragraph, [165.0, 1466.0, 794.0, 36.0], DpTLmG2tn6, 5683931]
