[1578, 1028]
[chapter-title, [396.0, 163.0, 389.0, 58.5], shoonya_1sYVKTZ18Y7Q1L, 5749559]
[paragraph, [149.0, 300.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 336.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 372.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 408.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 444.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 480.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 516.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 552.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 588.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 624.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 660.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 696.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 732.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [149.0, 768.0, 867.0, 36.0], shoonya_0sBW4QA0ENPERA, 5749559]
[paragraph, [148.0, 826.0, 864.0, 36.0], shoonya_4sAHKG4S33J7UK, 5749559]
[paragraph, [148.0, 862.0, 864.0, 36.0], shoonya_4sAHKG4S33J7UK, 5749559]
[folio, [140.0, 946.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
[folio, [140.0, 982.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
[folio, [140.0, 1018.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
[folio, [140.0, 1054.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
[folio, [140.0, 1090.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
[folio, [140.0, 1126.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
[folio, [140.0, 1162.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
[folio, [140.0, 1198.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
[folio, [140.0, 1234.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
[folio, [140.0, 1270.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
[folio, [140.0, 1306.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
[folio, [140.0, 1342.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
[folio, [140.0, 1378.0, 878.0, 36.0], shoonya_2sAI9TKIL2GUIJ, 5749559]
