[1031, 622]
[section-title, [254.0, 70.0, 117.0, 30.0], I7ujmWTvum, 5709982]
[paragraph, [56.0, 108.0, 503.0, 18.0], shoonya_1sG5LODFSL82ZG, 5709982]
[paragraph, [56.0, 126.0, 503.0, 18.0], shoonya_1sG5LODFSL82ZG, 5709982]
[paragraph, [56.0, 144.0, 503.0, 18.0], shoonya_1sG5LODFSL82ZG, 5709982]
[paragraph, [56.0, 162.0, 503.0, 18.0], shoonya_1sG5LODFSL82ZG, 5709982]
[paragraph, [56.0, 180.0, 503.0, 18.0], shoonya_1sG5LODFSL82ZG, 5709982]
[paragraph, [56.0, 208.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 226.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 244.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 262.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 280.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 298.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 316.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 334.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 352.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 370.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 388.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 406.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 424.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 442.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 460.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 478.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 496.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 514.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 532.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 550.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 568.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 586.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 604.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 622.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 640.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 658.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [56.0, 676.0, 501.0, 18.0], shoonya_2sF5DYLUITLMKN, 5709982]
[paragraph, [61.0, 707.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 725.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 743.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 761.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 779.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 797.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 815.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 833.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 851.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 869.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 887.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 905.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 923.0, 493.0, 18.0], J628LRPtiv, 5709982]
[paragraph, [61.0, 941.0, 493.0, 18.0], J628LRPtiv, 5709982]
