[1637, 1070]
[paragraph, [106.0, 106.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [106.0, 142.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [106.0, 178.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [106.0, 214.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [106.0, 250.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [106.0, 286.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [106.0, 322.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [106.0, 358.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [106.0, 394.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [106.0, 430.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [106.0, 466.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [106.0, 502.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [106.0, 538.0, 884.0, 36.0], shoonya_0sA41PY3ZGFFLE, 5654381]
[paragraph, [114.0, 582.0, 883.0, 36.0], shoonya_2sQW62T5EX9XKZ, 5654381]
[paragraph, [114.0, 618.0, 883.0, 36.0], shoonya_2sQW62T5EX9XKZ, 5654381]
[paragraph, [114.0, 654.0, 883.0, 36.0], shoonya_2sQW62T5EX9XKZ, 5654381]
[paragraph, [114.0, 690.0, 883.0, 36.0], shoonya_2sQW62T5EX9XKZ, 5654381]
[paragraph, [114.0, 726.0, 883.0, 36.0], shoonya_2sQW62T5EX9XKZ, 5654381]
[paragraph, [114.0, 762.0, 883.0, 36.0], shoonya_2sQW62T5EX9XKZ, 5654381]
[paragraph, [114.0, 798.0, 883.0, 36.0], shoonya_2sQW62T5EX9XKZ, 5654381]
[paragraph, [114.0, 834.0, 883.0, 36.0], shoonya_2sQW62T5EX9XKZ, 5654381]
[paragraph, [114.0, 870.0, 883.0, 36.0], shoonya_2sQW62T5EX9XKZ, 5654381]
[paragraph, [114.0, 906.0, 883.0, 36.0], shoonya_2sQW62T5EX9XKZ, 5654381]
[paragraph, [114.0, 942.0, 883.0, 36.0], shoonya_2sQW62T5EX9XKZ, 5654381]
[paragraph, [117.0, 997.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [117.0, 1033.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [117.0, 1069.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [117.0, 1105.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [117.0, 1141.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [117.0, 1177.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [117.0, 1213.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [117.0, 1249.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [117.0, 1285.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [117.0, 1321.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [117.0, 1357.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [117.0, 1393.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [117.0, 1429.0, 885.0, 36.0], shoonya_1sRD49O1FDM0R0, 5654381]
[paragraph, [225.0, 1452.0, 809.0, 36.0], Sgfp4tBKMM, 5654381]
