[2339, 1653]
[paragraph, [245.0, 246.0, 1160.0, 36.0], shoonya_1sLA4LBIKE2PET, 5686043]
[paragraph, [245.0, 282.0, 1160.0, 36.0], shoonya_1sLA4LBIKE2PET, 5686043]
[paragraph, [245.0, 318.0, 1160.0, 36.0], shoonya_1sLA4LBIKE2PET, 5686043]
[paragraph, [245.0, 354.0, 1160.0, 36.0], shoonya_1sLA4LBIKE2PET, 5686043]
[paragraph, [245.0, 390.0, 1160.0, 36.0], shoonya_1sLA4LBIKE2PET, 5686043]
[paragraph, [244.0, 452.0, 1165.0, 36.0], shoonya_4sYF47TTY9KRR3, 5686043]
[paragraph, [244.0, 488.0, 1165.0, 36.0], shoonya_4sYF47TTY9KRR3, 5686043]
[paragraph, [244.0, 524.0, 1165.0, 36.0], shoonya_4sYF47TTY9KRR3, 5686043]
[paragraph, [437.0, 591.0, 976.0, 36.0], shoonya_3sRCA47QAXAG78, 5686043]
[paragraph, [437.0, 627.0, 976.0, 36.0], shoonya_3sRCA47QAXAG78, 5686043]
[paragraph, [437.0, 663.0, 976.0, 36.0], shoonya_3sRCA47QAXAG78, 5686043]
[paragraph, [437.0, 699.0, 976.0, 36.0], shoonya_3sRCA47QAXAG78, 5686043]
[paragraph, [437.0, 735.0, 976.0, 36.0], shoonya_3sRCA47QAXAG78, 5686043]
[paragraph, [437.0, 771.0, 976.0, 36.0], shoonya_3sRCA47QAXAG78, 5686043]
[paragraph, [437.0, 807.0, 976.0, 36.0], shoonya_3sRCA47QAXAG78, 5686043]
[paragraph, [437.0, 843.0, 976.0, 36.0], shoonya_3sRCA47QAXAG78, 5686043]
[paragraph, [437.0, 879.0, 976.0, 36.0], shoonya_3sRCA47QAXAG78, 5686043]
[paragraph, [437.0, 915.0, 976.0, 36.0], shoonya_3sRCA47QAXAG78, 5686043]
[paragraph, [437.0, 951.0, 976.0, 36.0], shoonya_3sRCA47QAXAG78, 5686043]
[paragraph, [247.0, 1012.0, 1042.0, 36.0], shoonya_0sUDDQPOPOZO3H, 5686043]
[paragraph, [245.0, 1086.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1122.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1158.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1194.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1230.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1266.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1302.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1338.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1374.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1410.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1446.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1482.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1518.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1554.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1590.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [245.0, 1626.0, 1167.0, 36.0], 9HaUshXeek, 5686043]
[paragraph, [241.0, 1710.0, 1169.0, 36.0], NtDtvv2R9N, 5686043]
[paragraph, [241.0, 1746.0, 1169.0, 36.0], NtDtvv2R9N, 5686043]
[paragraph, [241.0, 1782.0, 1169.0, 36.0], NtDtvv2R9N, 5686043]
[paragraph, [241.0, 1818.0, 1169.0, 36.0], NtDtvv2R9N, 5686043]
[paragraph, [241.0, 1854.0, 1169.0, 36.0], NtDtvv2R9N, 5686043]
[reference, [248.0, 1963.0, 780.0, 36.0], shoonya_6sXSHU67EGSV22, 5686043]
[reference, [248.0, 1999.0, 780.0, 36.0], shoonya_6sXSHU67EGSV22, 5686043]
[reference, [248.0, 2035.0, 780.0, 36.0], shoonya_6sXSHU67EGSV22, 5686043]
[reference, [248.0, 2071.0, 780.0, 36.0], shoonya_6sXSHU67EGSV22, 5686043]
