[1578, 1028]
[paragraph, [111.0, 34.0, 873.0, 36.0], shoonya_5sGS7ZRSV5YOD8, 5749832]
[paragraph, [111.0, 70.0, 873.0, 36.0], shoonya_5sGS7ZRSV5YOD8, 5749832]
[paragraph, [115.0, 176.0, 871.0, 36.0], shoonya_3sNU8HHUD5RZ12, 5749832]
[paragraph, [115.0, 212.0, 871.0, 36.0], shoonya_3sNU8HHUD5RZ12, 5749832]
[paragraph, [115.0, 248.0, 871.0, 36.0], shoonya_3sNU8HHUD5RZ12, 5749832]
[paragraph, [115.0, 284.0, 871.0, 36.0], shoonya_3sNU8HHUD5RZ12, 5749832]
[paragraph, [114.0, 352.0, 869.0, 36.0], shoonya_2sJ0DSK18HP1EO, 5749832]
[paragraph, [114.0, 388.0, 869.0, 36.0], shoonya_2sJ0DSK18HP1EO, 5749832]
[paragraph, [114.0, 424.0, 869.0, 36.0], shoonya_2sJ0DSK18HP1EO, 5749832]
[paragraph, [114.0, 460.0, 869.0, 36.0], shoonya_2sJ0DSK18HP1EO, 5749832]
[paragraph, [114.0, 496.0, 869.0, 36.0], shoonya_2sJ0DSK18HP1EO, 5749832]
[paragraph, [114.0, 532.0, 869.0, 36.0], shoonya_2sJ0DSK18HP1EO, 5749832]
[paragraph, [114.0, 568.0, 869.0, 36.0], shoonya_2sJ0DSK18HP1EO, 5749832]
[paragraph, [114.0, 604.0, 869.0, 36.0], shoonya_2sJ0DSK18HP1EO, 5749832]
[paragraph, [114.0, 662.0, 867.0, 36.0], shoonya_0s0I164MHYHTZ1, 5749832]
[paragraph, [114.0, 698.0, 867.0, 36.0], shoonya_0s0I164MHYHTZ1, 5749832]
[paragraph, [114.0, 734.0, 867.0, 36.0], shoonya_0s0I164MHYHTZ1, 5749832]
[paragraph, [114.0, 770.0, 867.0, 36.0], shoonya_0s0I164MHYHTZ1, 5749832]
[paragraph, [114.0, 806.0, 867.0, 36.0], shoonya_0s0I164MHYHTZ1, 5749832]
[paragraph, [114.0, 842.0, 867.0, 36.0], shoonya_0s0I164MHYHTZ1, 5749832]
[paragraph, [114.0, 878.0, 867.0, 36.0], shoonya_0s0I164MHYHTZ1, 5749832]
[paragraph, [112.0, 930.0, 867.0, 36.0], shoonya_1sRK650N7U4K15, 5749832]
[paragraph, [112.0, 966.0, 867.0, 36.0], shoonya_1sRK650N7U4K15, 5749832]
[paragraph, [112.0, 1002.0, 867.0, 36.0], shoonya_1sRK650N7U4K15, 5749832]
[paragraph, [112.0, 1038.0, 867.0, 36.0], shoonya_1sRK650N7U4K15, 5749832]
[paragraph, [112.0, 1074.0, 867.0, 36.0], shoonya_1sRK650N7U4K15, 5749832]
[paragraph, [112.0, 1110.0, 867.0, 36.0], shoonya_1sRK650N7U4K15, 5749832]
[paragraph, [112.0, 1146.0, 867.0, 36.0], shoonya_1sRK650N7U4K15, 5749832]
[paragraph, [112.0, 1182.0, 867.0, 36.0], shoonya_1sRK650N7U4K15, 5749832]
[footnote, [105.0, 1281.0, 885.0, 36.0], 6EQ1zRLIom, 5749832]
[footnote, [105.0, 1317.0, 885.0, 36.0], 6EQ1zRLIom, 5749832]
[footnote, [105.0, 1353.0, 885.0, 36.0], 6EQ1zRLIom, 5749832]
[footnote, [105.0, 1389.0, 885.0, 36.0], 6EQ1zRLIom, 5749832]
