[1606, 1056]
[folio, [439.0, 102.0, 170.0, 36.0], shoonya_3s21MX04UXEKXX, 5684086]
[paragraph, [108.0, 152.0, 843.0, 36.0], shoonya_4s5R0QTFA779KL, 5684086]
[paragraph, [108.0, 188.0, 843.0, 36.0], shoonya_4s5R0QTFA779KL, 5684086]
[paragraph, [109.0, 246.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [109.0, 282.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [109.0, 318.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [109.0, 354.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [109.0, 390.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [109.0, 426.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [109.0, 462.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [109.0, 498.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [109.0, 534.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [109.0, 570.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [109.0, 606.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [109.0, 642.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [109.0, 678.0, 843.0, 36.0], shoonya_0sH059WVQYIE27, 5684086]
[paragraph, [102.0, 735.0, 851.0, 36.0], shoonya_2sEIH2ZT5T4TAM, 5684086]
[paragraph, [102.0, 771.0, 851.0, 36.0], shoonya_2sEIH2ZT5T4TAM, 5684086]
[paragraph, [102.0, 807.0, 851.0, 36.0], shoonya_2sEIH2ZT5T4TAM, 5684086]
[paragraph, [102.0, 843.0, 851.0, 36.0], shoonya_2sEIH2ZT5T4TAM, 5684086]
[paragraph, [102.0, 879.0, 851.0, 36.0], shoonya_2sEIH2ZT5T4TAM, 5684086]
[paragraph, [102.0, 915.0, 851.0, 36.0], shoonya_2sEIH2ZT5T4TAM, 5684086]
[paragraph, [102.0, 951.0, 851.0, 36.0], shoonya_2sEIH2ZT5T4TAM, 5684086]
[paragraph, [102.0, 987.0, 851.0, 36.0], shoonya_2sEIH2ZT5T4TAM, 5684086]
[paragraph, [100.0, 1056.0, 851.0, 36.0], shoonya_1sNCXKKJLA1PE0, 5684086]
[paragraph, [100.0, 1092.0, 851.0, 36.0], shoonya_1sNCXKKJLA1PE0, 5684086]
[paragraph, [100.0, 1128.0, 851.0, 36.0], shoonya_1sNCXKKJLA1PE0, 5684086]
[paragraph, [100.0, 1188.0, 850.0, 36.0], NCMBCZnBJZ, 5684086]
[paragraph, [100.0, 1224.0, 850.0, 36.0], NCMBCZnBJZ, 5684086]
[paragraph, [94.0, 1286.0, 856.0, 36.0], CzLhepNZy9, 5684086]
[paragraph, [94.0, 1322.0, 856.0, 36.0], CzLhepNZy9, 5684086]
[paragraph, [94.0, 1358.0, 856.0, 36.0], CzLhepNZy9, 5684086]
[paragraph, [94.0, 1394.0, 856.0, 36.0], CzLhepNZy9, 5684086]
[paragraph, [94.0, 1430.0, 856.0, 36.0], CzLhepNZy9, 5684086]
[paragraph, [94.0, 1466.0, 856.0, 36.0], CzLhepNZy9, 5684086]
