[2339, 1609]
[folio, [837.0, 112.0, 546.0, 36.0], PW8LAsB7UY, 5657235]
[folio, [212.0, 116.0, 409.0, 36.0], nSGQpdEoZs, 5657235]
[author, [636.0, 335.0, 323.0, 36.0], ZF29lnM7tp, 5657235]
[contact-info, [397.0, 401.0, 789.0, 36.0], Jvcyub4Llu, 5657235]
[contact-info, [397.0, 437.0, 789.0, 36.0], Jvcyub4Llu, 5657235]
[contact-info, [397.0, 473.0, 789.0, 36.0], Jvcyub4Llu, 5657235]
[contact-info, [397.0, 509.0, 789.0, 36.0], Jvcyub4Llu, 5657235]
[contact-info, [397.0, 545.0, 789.0, 36.0], Jvcyub4Llu, 5657235]
[contact-info, [397.0, 581.0, 789.0, 36.0], Jvcyub4Llu, 5657235]
[paragraph, [141.0, 766.0, 1321.0, 36.0], shoonya_1sE4C57BZ3XLZ0, 5657235]
[paragraph, [141.0, 802.0, 1321.0, 36.0], shoonya_1sE4C57BZ3XLZ0, 5657235]
[paragraph, [141.0, 838.0, 1321.0, 36.0], shoonya_1sE4C57BZ3XLZ0, 5657235]
[paragraph, [141.0, 874.0, 1321.0, 36.0], shoonya_1sE4C57BZ3XLZ0, 5657235]
[paragraph, [141.0, 910.0, 1321.0, 36.0], shoonya_1sE4C57BZ3XLZ0, 5657235]
[paragraph, [141.0, 946.0, 1321.0, 36.0], shoonya_1sE4C57BZ3XLZ0, 5657235]
[paragraph, [141.0, 982.0, 1321.0, 36.0], shoonya_1sE4C57BZ3XLZ0, 5657235]
[paragraph, [141.0, 1018.0, 1321.0, 36.0], shoonya_1sE4C57BZ3XLZ0, 5657235]
[paragraph, [141.0, 1054.0, 1321.0, 36.0], shoonya_1sE4C57BZ3XLZ0, 5657235]
[paragraph, [141.0, 1090.0, 1321.0, 36.0], shoonya_1sE4C57BZ3XLZ0, 5657235]
[paragraph, [138.0, 1157.0, 1327.0, 36.0], shoonya_0s55ASLNA21ZQ0, 5657235]
[paragraph, [138.0, 1193.0, 1327.0, 36.0], shoonya_0s55ASLNA21ZQ0, 5657235]
[paragraph, [138.0, 1229.0, 1327.0, 36.0], shoonya_0s55ASLNA21ZQ0, 5657235]
[paragraph, [138.0, 1265.0, 1327.0, 36.0], shoonya_0s55ASLNA21ZQ0, 5657235]
[paragraph, [138.0, 1301.0, 1327.0, 36.0], shoonya_0s55ASLNA21ZQ0, 5657235]
[paragraph, [138.0, 1337.0, 1327.0, 36.0], shoonya_0s55ASLNA21ZQ0, 5657235]
[paragraph, [138.0, 1373.0, 1327.0, 36.0], shoonya_0s55ASLNA21ZQ0, 5657235]
[paragraph, [138.0, 1409.0, 1327.0, 36.0], shoonya_0s55ASLNA21ZQ0, 5657235]
[folio, [130.0, 2150.0, 564.0, 36.0], N427l5rf9D, 5657235]
[folio, [130.0, 2186.0, 564.0, 36.0], N427l5rf9D, 5657235]
[folio, [895.0, 2152.0, 574.0, 36.0], 0KC-JV-7wT, 5657235]
[folio, [895.0, 2188.0, 574.0, 36.0], 0KC-JV-7wT, 5657235]
