[1755, 1240]
[sub-headline, [345.0, 199.0, 650.0, 36.0], HSXoNS1OEP, 6474049]
[headline, [306.0, 241.0, 722.0, 37.5], kQau1j8_S9, 6474049]
[paragraph, [168.0, 295.0, 1001.0, 36.0], shoonya_0s6S3W068Y623O, 6474049]
[paragraph, [168.0, 331.0, 1001.0, 36.0], shoonya_0s6S3W068Y623O, 6474049]
[paragraph, [168.0, 367.0, 1001.0, 36.0], shoonya_0s6S3W068Y623O, 6474049]
[paragraph, [168.0, 403.0, 1001.0, 36.0], shoonya_0s6S3W068Y623O, 6474049]
[paragraph, [168.0, 439.0, 1001.0, 36.0], shoonya_0s6S3W068Y623O, 6474049]
[paragraph, [168.0, 475.0, 1001.0, 36.0], shoonya_0s6S3W068Y623O, 6474049]
[paragraph, [168.0, 511.0, 1001.0, 36.0], shoonya_0s6S3W068Y623O, 6474049]
[paragraph, [168.0, 547.0, 1001.0, 36.0], shoonya_0s6S3W068Y623O, 6474049]
[paragraph, [168.0, 583.0, 1001.0, 36.0], shoonya_0s6S3W068Y623O, 6474049]
[paragraph, [168.0, 619.0, 1001.0, 36.0], shoonya_0s6S3W068Y623O, 6474049]
[paragraph, [172.0, 687.0, 404.0, 36.0], shoonya_5sKO5KSV4G5UJY, 6474049]
[paragraph, [172.0, 723.0, 404.0, 36.0], shoonya_5sKO5KSV4G5UJY, 6474049]
[paragraph, [172.0, 759.0, 404.0, 36.0], shoonya_5sKO5KSV4G5UJY, 6474049]
[paragraph, [172.0, 795.0, 404.0, 36.0], shoonya_5sKO5KSV4G5UJY, 6474049]
[paragraph, [173.0, 978.0, 392.0, 36.0], shoonya_1sWVSW837HIIDL, 6474049]
[paragraph, [173.0, 1014.0, 392.0, 36.0], shoonya_1sWVSW837HIIDL, 6474049]
[paragraph, [167.0, 1163.0, 396.0, 36.0], lCrezAcmSd, 6474049]
[paragraph, [167.0, 1199.0, 396.0, 36.0], lCrezAcmSd, 6474049]
[paragraph, [162.0, 1267.0, 399.0, 36.0], kMAZLTo8fX, 6474049]
[paragraph, [162.0, 1303.0, 399.0, 36.0], kMAZLTo8fX, 6474049]
[paragraph, [162.0, 1339.0, 399.0, 36.0], kMAZLTo8fX, 6474049]
[paragraph, [162.0, 1375.0, 399.0, 36.0], kMAZLTo8fX, 6474049]
