[3508, 2481]
[paragraph, [183.0, 96.0, 2095.0, 52.5], Amr-EMovmx, 6490752]
[paragraph, [183.0, 148.5, 2095.0, 52.5], Amr-EMovmx, 6490752]
[paragraph, [183.0, 201.0, 2095.0, 52.5], Amr-EMovmx, 6490752]
[paragraph, [183.0, 253.5, 2095.0, 52.5], Amr-EMovmx, 6490752]
[paragraph, [189.0, 385.0, 2083.0, 52.5], iPQSHL9qry, 6490752]
[paragraph, [189.0, 437.5, 2083.0, 52.5], iPQSHL9qry, 6490752]
[paragraph, [189.0, 490.0, 2083.0, 52.5], iPQSHL9qry, 6490752]
[paragraph, [189.0, 542.5, 2083.0, 52.5], iPQSHL9qry, 6490752]
[paragraph, [189.0, 595.0, 2083.0, 52.5], iPQSHL9qry, 6490752]
[paragraph, [189.0, 647.5, 2083.0, 52.5], iPQSHL9qry, 6490752]
[paragraph, [189.0, 700.0, 2083.0, 52.5], iPQSHL9qry, 6490752]
[paragraph, [189.0, 752.5, 2083.0, 52.5], iPQSHL9qry, 6490752]
[paragraph, [189.0, 805.0, 2083.0, 52.5], iPQSHL9qry, 6490752]
[paragraph, [202.0, 948.0, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1000.5, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1053.0, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1105.5, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1158.0, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1210.5, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1263.0, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1315.5, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1368.0, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1420.5, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1473.0, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1525.5, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1578.0, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1630.5, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1683.0, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1735.5, 2070.0, 52.5], iiA5grXMnP, 6490752]
[paragraph, [202.0, 1788.0, 2070.0, 52.5], iiA5grXMnP, 6490752]
[contact-info, [217.0, 2208.0, 469.0, 52.5], vStxbWBzow, 6490752]
[contact-info, [217.0, 3296.0, 506.0, 52.5], kJnSPwPOoA, 6490752]
