[1004, 621]
[paragraph, [40.0, 106.0, 533.0, 18.0], shoonya_1s1ZHX5UX0FI1R, 5740597]
[paragraph, [40.0, 124.0, 533.0, 18.0], shoonya_1s1ZHX5UX0FI1R, 5740597]
[paragraph, [40.0, 142.0, 533.0, 18.0], shoonya_1s1ZHX5UX0FI1R, 5740597]
[paragraph, [40.0, 160.0, 533.0, 18.0], shoonya_1s1ZHX5UX0FI1R, 5740597]
[paragraph, [40.0, 178.0, 533.0, 18.0], shoonya_1s1ZHX5UX0FI1R, 5740597]
[paragraph, [40.0, 196.0, 533.0, 18.0], shoonya_1s1ZHX5UX0FI1R, 5740597]
[paragraph, [38.0, 225.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 243.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 261.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 279.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 297.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 315.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 333.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 351.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 369.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 387.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 405.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 423.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 441.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 459.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 477.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 495.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 513.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 531.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 549.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 567.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
[paragraph, [38.0, 585.0, 538.0, 18.0], shoonya_2sUNSZNQ8E9G4W, 5740597]
