[1162, 749]
[folio, [328.0, 75.0, 81.0, 18.0], shoonya_1sDCC0QCVOE06X, 5700093]
[paragraph, [78.0, 120.0, 592.0, 18.0], shoonya_2sA8RGZDARDJO1, 5700093]
[paragraph, [78.0, 138.0, 592.0, 18.0], shoonya_2sA8RGZDARDJO1, 5700093]
[paragraph, [78.0, 156.0, 592.0, 18.0], shoonya_2sA8RGZDARDJO1, 5700093]
[paragraph, [77.0, 189.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 207.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 225.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 243.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 261.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 279.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 297.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 315.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 333.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 351.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 369.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 387.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 405.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 423.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 441.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 459.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [77.0, 477.0, 596.0, 18.0], shoonya_0sN611A9M760GT, 5700093]
[paragraph, [71.0, 503.0, 599.0, 18.0], zFbCab8sTF, 5700093]
[paragraph, [71.0, 521.0, 599.0, 18.0], zFbCab8sTF, 5700093]
[paragraph, [71.0, 539.0, 599.0, 18.0], zFbCab8sTF, 5700093]
[paragraph, [71.0, 557.0, 599.0, 18.0], zFbCab8sTF, 5700093]
[paragraph, [71.0, 575.0, 599.0, 18.0], zFbCab8sTF, 5700093]
[paragraph, [71.0, 593.0, 599.0, 18.0], zFbCab8sTF, 5700093]
[paragraph, [71.0, 611.0, 599.0, 18.0], zFbCab8sTF, 5700093]
[paragraph, [80.0, 640.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 658.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 676.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 694.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 712.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 730.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 748.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 766.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 784.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 802.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 820.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 838.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 856.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 874.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 892.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 910.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 928.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 946.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [80.0, 964.0, 592.0, 18.0], shoonya_3s2QQOZFH70257, 5700093]
[paragraph, [75.0, 989.0, 599.0, 18.0], ZbzIVDg8dU, 5700093]
[paragraph, [75.0, 1007.0, 599.0, 18.0], ZbzIVDg8dU, 5700093]
[paragraph, [75.0, 1025.0, 599.0, 18.0], ZbzIVDg8dU, 5700093]
[paragraph, [75.0, 1043.0, 599.0, 18.0], ZbzIVDg8dU, 5700093]
[paragraph, [75.0, 1061.0, 599.0, 18.0], ZbzIVDg8dU, 5700093]
