[1387, 987]
[paragraph, [75.0, 73.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 91.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 109.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 127.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 145.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 163.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 181.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 199.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 217.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 235.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 253.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 271.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 289.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [75.0, 307.0, 808.0, 18.0], shoonya_2sIGDHO3Z8M9TV, 5652952]
[paragraph, [69.0, 340.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 358.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 376.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 394.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 412.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 430.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 448.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 466.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 484.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 502.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 520.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 538.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 556.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 574.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 592.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [69.0, 610.0, 822.0, 18.0], shoonya_0sOC8MT0COFOTY, 5652952]
[paragraph, [62.0, 640.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 658.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 676.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 694.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 712.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 730.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 748.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 766.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 784.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 802.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 820.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 838.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 856.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
[paragraph, [62.0, 874.0, 843.0, 18.0], shoonya_1sSFHWE6KTCQYY, 5652952]
