[1350, 900]
[folio, [527.0, 175.0, 190.0, 18.0], 7tf9S1DVmG, 5760628]
[folio, [527.0, 193.0, 190.0, 18.0], 7tf9S1DVmG, 5760628]
[paragraph, [181.0, 226.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 244.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 262.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 280.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 298.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 316.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 334.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 352.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 370.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 388.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 406.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 424.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 442.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 460.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 478.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 496.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 514.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 532.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 550.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 568.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 586.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 604.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 622.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 640.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 658.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 676.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 694.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [181.0, 712.0, 560.0, 18.0], shoonya_0sVPB0MN972KUJ, 5760628]
[paragraph, [184.0, 740.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 758.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 776.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 794.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 812.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 830.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 848.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 866.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 884.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 902.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 920.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 938.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 956.0, 554.0, 18.0], A6hpYwsMdS, 5760628]
[paragraph, [184.0, 1000.0, 560.0, 18.0], 65bh3Ot9gh, 5760628]
[paragraph, [184.0, 1018.0, 560.0, 18.0], 65bh3Ot9gh, 5760628]
[paragraph, [184.0, 1036.0, 560.0, 18.0], 65bh3Ot9gh, 5760628]
[paragraph, [184.0, 1054.0, 560.0, 18.0], 65bh3Ot9gh, 5760628]
[paragraph, [184.0, 1072.0, 560.0, 18.0], 65bh3Ot9gh, 5760628]
[paragraph, [184.0, 1090.0, 560.0, 18.0], 65bh3Ot9gh, 5760628]
[paragraph, [184.0, 1108.0, 560.0, 18.0], 65bh3Ot9gh, 5760628]
