[1625, 1211]
[headline, [114.0, 89.0, 952.0, 37.5], BAbec6j7QC, 5742948]
[sub-headline, [81.0, 155.0, 1017.0, 36.0], bDwi1jfM5a, 5742948]
[paragraph, [68.0, 265.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 301.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 337.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 373.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 409.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 445.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 481.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 517.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 553.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 589.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 625.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 661.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 697.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 733.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [68.0, 769.0, 343.0, 36.0], shoonya_0sNDQGCSOG22D2, 5742948]
[paragraph, [780.0, 266.0, 343.0, 36.0], l681OL0NSX, 5742948]
[paragraph, [780.0, 302.0, 343.0, 36.0], l681OL0NSX, 5742948]
[paragraph, [780.0, 338.0, 343.0, 36.0], l681OL0NSX, 5742948]
[paragraph, [780.0, 374.0, 343.0, 36.0], l681OL0NSX, 5742948]
[paragraph, [780.0, 410.0, 343.0, 36.0], l681OL0NSX, 5742948]
[paragraph, [780.0, 446.0, 343.0, 36.0], l681OL0NSX, 5742948]
