[792, 612]
[folio, [56.0, 89.0, 112.0, 18.0], OdAFw8llge, 6514825]
[headline, [52.0, 124.0, 264.0, 25.5], YRvdDab-Hk, 6514825]
[headline, [52.0, 149.5, 264.0, 25.5], YRvdDab-Hk, 6514825]
[headline, [52.0, 175.0, 264.0, 25.5], YRvdDab-Hk, 6514825]
[paragraph, [55.0, 269.0, 165.0, 18.0], YgVaUuhKa4, 6514825]
[paragraph, [55.0, 287.0, 165.0, 18.0], YgVaUuhKa4, 6514825]
[paragraph, [55.0, 305.0, 165.0, 18.0], YgVaUuhKa4, 6514825]
[paragraph, [55.0, 323.0, 165.0, 18.0], YgVaUuhKa4, 6514825]
[paragraph, [55.0, 341.0, 165.0, 18.0], YgVaUuhKa4, 6514825]
[paragraph, [55.0, 359.0, 165.0, 18.0], YgVaUuhKa4, 6514825]
[paragraph, [55.0, 377.0, 165.0, 18.0], YgVaUuhKa4, 6514825]
[paragraph, [393.0, 309.0, 162.0, 18.0], MmWYG1TQON, 6514825]
[paragraph, [393.0, 327.0, 162.0, 18.0], MmWYG1TQON, 6514825]
[paragraph, [393.0, 345.0, 162.0, 18.0], MmWYG1TQON, 6514825]
[paragraph, [393.0, 363.0, 162.0, 18.0], MmWYG1TQON, 6514825]
[paragraph, [392.0, 388.0, 162.0, 18.0], jdz5JuucLH, 6514825]
[paragraph, [392.0, 406.0, 162.0, 18.0], jdz5JuucLH, 6514825]
[paragraph, [392.0, 424.0, 162.0, 18.0], jdz5JuucLH, 6514825]
[paragraph, [392.0, 442.0, 162.0, 18.0], jdz5JuucLH, 6514825]
[paragraph, [392.0, 460.0, 162.0, 18.0], jdz5JuucLH, 6514825]
[paragraph, [392.0, 478.0, 162.0, 18.0], jdz5JuucLH, 6514825]
[paragraph, [392.0, 496.0, 162.0, 18.0], jdz5JuucLH, 6514825]
[paragraph, [56.0, 401.0, 164.0, 18.0], 7jmfsh_G1D, 6514825]
[paragraph, [56.0, 419.0, 164.0, 18.0], 7jmfsh_G1D, 6514825]
