[1754, 1241]
[folio, [991.0, 80.0, 82.0, 36.0], 8jrNh4kGfZ, 6471781]
[paragraph, [104.0, 133.0, 506.0, 36.0], shoonya_2sI0KEA2Q38ZDR, 6471781]
[paragraph, [104.0, 169.0, 506.0, 36.0], shoonya_2sI0KEA2Q38ZDR, 6471781]
[paragraph, [104.0, 205.0, 506.0, 36.0], shoonya_2sI0KEA2Q38ZDR, 6471781]
[paragraph, [104.0, 241.0, 506.0, 36.0], shoonya_2sI0KEA2Q38ZDR, 6471781]
[paragraph, [104.0, 277.0, 506.0, 36.0], shoonya_2sI0KEA2Q38ZDR, 6471781]
[headline, [714.0, 133.0, 411.0, 37.5], shoonya_4sHNY6JOM14MUS, 6471781]
[headline, [714.0, 170.5, 411.0, 37.5], shoonya_4sHNY6JOM14MUS, 6471781]
[headline, [714.0, 208.0, 411.0, 37.5], shoonya_4sHNY6JOM14MUS, 6471781]
[paragraph, [629.0, 257.0, 541.0, 36.0], shoonya_0sHZYKR3FUX24T, 6471781]
[paragraph, [629.0, 293.0, 541.0, 36.0], shoonya_0sHZYKR3FUX24T, 6471781]
[paragraph, [629.0, 329.0, 541.0, 36.0], shoonya_0sHZYKR3FUX24T, 6471781]
[paragraph, [629.0, 365.0, 541.0, 36.0], shoonya_0sHZYKR3FUX24T, 6471781]
[paragraph, [629.0, 401.0, 541.0, 36.0], shoonya_0sHZYKR3FUX24T, 6471781]
[paragraph, [629.0, 437.0, 541.0, 36.0], shoonya_0sHZYKR3FUX24T, 6471781]
[paragraph, [629.0, 473.0, 541.0, 36.0], shoonya_0sHZYKR3FUX24T, 6471781]
[paragraph, [629.0, 509.0, 541.0, 36.0], shoonya_0sHZYKR3FUX24T, 6471781]
[paragraph, [629.0, 545.0, 541.0, 36.0], shoonya_0sHZYKR3FUX24T, 6471781]
[paragraph, [629.0, 581.0, 541.0, 36.0], shoonya_0sHZYKR3FUX24T, 6471781]
[paragraph, [629.0, 617.0, 541.0, 36.0], shoonya_0sHZYKR3FUX24T, 6471781]
[ordered-list, [65.0, 352.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 388.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 424.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 460.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 496.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 532.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 568.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 604.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 640.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 676.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 712.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 748.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 784.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 820.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 856.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 892.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 928.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 964.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 1000.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 1036.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 1072.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 1108.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 1144.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 1180.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[ordered-list, [65.0, 1216.0, 547.0, 36.0], shoonya_5sRRVPKFICCHVN, 6471781]
[paragraph, [625.0, 710.0, 551.0, 36.0], shoonya_7sTJ8GVVV54BCU, 6471781]
[paragraph, [625.0, 746.0, 551.0, 36.0], shoonya_7sTJ8GVVV54BCU, 6471781]
[paragraph, [625.0, 782.0, 551.0, 36.0], shoonya_7sTJ8GVVV54BCU, 6471781]
[paragraph, [625.0, 818.0, 551.0, 36.0], shoonya_7sTJ8GVVV54BCU, 6471781]
[paragraph, [625.0, 854.0, 551.0, 36.0], shoonya_7sTJ8GVVV54BCU, 6471781]
[paragraph, [625.0, 890.0, 551.0, 36.0], shoonya_7sTJ8GVVV54BCU, 6471781]
[paragraph, [625.0, 926.0, 551.0, 36.0], shoonya_7sTJ8GVVV54BCU, 6471781]
[paragraph, [625.0, 962.0, 551.0, 36.0], shoonya_7sTJ8GVVV54BCU, 6471781]
[paragraph, [625.0, 998.0, 551.0, 36.0], shoonya_7sTJ8GVVV54BCU, 6471781]
[paragraph, [625.0, 1034.0, 551.0, 36.0], shoonya_7sTJ8GVVV54BCU, 6471781]
[section-title, [627.0, 1091.0, 166.0, 49.5], shoonya_3s81RG8ZWAOKC9, 6471781]
[unordered-list, [628.0, 1150.0, 547.0, 36.0], UY5lTPkUWT, 6471781]
[unordered-list, [628.0, 1186.0, 547.0, 36.0], UY5lTPkUWT, 6471781]
[unordered-list, [628.0, 1222.0, 547.0, 36.0], UY5lTPkUWT, 6471781]
[unordered-list, [628.0, 1258.0, 547.0, 36.0], UY5lTPkUWT, 6471781]
[unordered-list, [628.0, 1294.0, 547.0, 36.0], UY5lTPkUWT, 6471781]
[unordered-list, [628.0, 1330.0, 547.0, 36.0], UY5lTPkUWT, 6471781]
