[792, 612]
[paragraph, [59.0, 53.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 71.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 89.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 107.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 125.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 143.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 161.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 179.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 197.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 215.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 233.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 251.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 269.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 287.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 305.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 323.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [59.0, 341.0, 165.0, 18.0], eEGegToSMd, 6514265]
[paragraph, [228.0, 53.0, 158.0, 18.0], MgxoCkvOrJ, 6514265]
[paragraph, [228.0, 71.0, 158.0, 18.0], MgxoCkvOrJ, 6514265]
[paragraph, [228.0, 89.0, 158.0, 18.0], MgxoCkvOrJ, 6514265]
[paragraph, [390.0, 53.0, 161.0, 18.0], XIlHbXtOv5, 6514265]
[paragraph, [390.0, 71.0, 161.0, 18.0], XIlHbXtOv5, 6514265]
[paragraph, [390.0, 89.0, 161.0, 18.0], XIlHbXtOv5, 6514265]
[paragraph, [390.0, 107.0, 161.0, 18.0], XIlHbXtOv5, 6514265]
[paragraph, [390.0, 125.0, 161.0, 18.0], XIlHbXtOv5, 6514265]
[paragraph, [390.0, 143.0, 161.0, 18.0], XIlHbXtOv5, 6514265]
[paragraph, [390.0, 161.0, 161.0, 18.0], XIlHbXtOv5, 6514265]
[paragraph, [227.0, 146.0, 158.0, 18.0], CspbAj16Km, 6514265]
[paragraph, [227.0, 164.0, 158.0, 18.0], CspbAj16Km, 6514265]
[paragraph, [227.0, 182.0, 158.0, 18.0], CspbAj16Km, 6514265]
[paragraph, [227.0, 200.0, 158.0, 18.0], CspbAj16Km, 6514265]
[paragraph, [227.0, 218.0, 158.0, 18.0], CspbAj16Km, 6514265]
[paragraph, [227.0, 236.0, 158.0, 18.0], CspbAj16Km, 6514265]
[paragraph, [227.0, 254.0, 158.0, 18.0], CspbAj16Km, 6514265]
[paragraph, [227.0, 272.0, 158.0, 18.0], CspbAj16Km, 6514265]
[paragraph, [227.0, 290.0, 158.0, 18.0], CspbAj16Km, 6514265]
[paragraph, [227.0, 308.0, 158.0, 18.0], CspbAj16Km, 6514265]
[paragraph, [390.0, 188.0, 158.0, 18.0], y2lG8rtLx3, 6514265]
[paragraph, [390.0, 206.0, 158.0, 18.0], y2lG8rtLx3, 6514265]
[paragraph, [390.0, 224.0, 158.0, 18.0], y2lG8rtLx3, 6514265]
[paragraph, [390.0, 242.0, 158.0, 18.0], y2lG8rtLx3, 6514265]
[paragraph, [390.0, 260.0, 158.0, 18.0], y2lG8rtLx3, 6514265]
[paragraph, [390.0, 297.0, 161.0, 18.0], jgJ2qtmQlw, 6514265]
[paragraph, [390.0, 315.0, 161.0, 18.0], jgJ2qtmQlw, 6514265]
[paragraph, [390.0, 333.0, 161.0, 18.0], jgJ2qtmQlw, 6514265]
[paragraph, [390.0, 351.0, 161.0, 18.0], jgJ2qtmQlw, 6514265]
[paragraph, [390.0, 369.0, 161.0, 18.0], jgJ2qtmQlw, 6514265]
[paragraph, [390.0, 387.0, 161.0, 18.0], jgJ2qtmQlw, 6514265]
[paragraph, [390.0, 405.0, 161.0, 18.0], jgJ2qtmQlw, 6514265]
[paragraph, [390.0, 423.0, 161.0, 18.0], jgJ2qtmQlw, 6514265]
[paragraph, [390.0, 441.0, 161.0, 18.0], jgJ2qtmQlw, 6514265]
[paragraph, [390.0, 459.0, 161.0, 18.0], jgJ2qtmQlw, 6514265]
[paragraph, [226.0, 347.0, 160.0, 18.0], VvJ2xibQWc, 6514265]
[paragraph, [226.0, 365.0, 160.0, 18.0], VvJ2xibQWc, 6514265]
[paragraph, [226.0, 383.0, 160.0, 18.0], VvJ2xibQWc, 6514265]
[paragraph, [226.0, 401.0, 160.0, 18.0], VvJ2xibQWc, 6514265]
[paragraph, [226.0, 419.0, 160.0, 18.0], VvJ2xibQWc, 6514265]
[paragraph, [226.0, 437.0, 160.0, 18.0], VvJ2xibQWc, 6514265]
[paragraph, [226.0, 455.0, 160.0, 18.0], VvJ2xibQWc, 6514265]
[paragraph, [226.0, 473.0, 160.0, 18.0], VvJ2xibQWc, 6514265]
[paragraph, [226.0, 491.0, 160.0, 18.0], VvJ2xibQWc, 6514265]
[paragraph, [226.0, 509.0, 160.0, 18.0], VvJ2xibQWc, 6514265]
[paragraph, [55.0, 399.0, 166.0, 18.0], IYN300XxUs, 6514265]
[paragraph, [55.0, 417.0, 166.0, 18.0], IYN300XxUs, 6514265]
[paragraph, [55.0, 435.0, 166.0, 18.0], IYN300XxUs, 6514265]
[paragraph, [55.0, 453.0, 166.0, 18.0], IYN300XxUs, 6514265]
[paragraph, [55.0, 471.0, 166.0, 18.0], IYN300XxUs, 6514265]
