[1818, 1374]
[folio, [624.0, 174.0, 123.0, 36.0], shoonya_0sT8PFW4HYXEHG, 5682498]
[paragraph, [96.0, 234.0, 574.0, 36.0], shoonya_3sGCQRAW05R5K5, 5682498]
[paragraph, [96.0, 270.0, 574.0, 36.0], shoonya_3sGCQRAW05R5K5, 5682498]
[paragraph, [696.0, 237.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 273.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 309.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 345.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 381.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 417.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 453.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 489.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 525.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 561.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 597.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 633.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 669.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 705.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 741.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 777.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 813.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 849.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 885.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 921.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 957.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 993.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 1029.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 1065.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [696.0, 1101.0, 567.0, 36.0], 7arebayC4Q, 5682498]
[paragraph, [99.0, 443.0, 578.0, 36.0], qUaIlk_ldE, 5682498]
[paragraph, [99.0, 479.0, 578.0, 36.0], qUaIlk_ldE, 5682498]
[paragraph, [99.0, 515.0, 578.0, 36.0], qUaIlk_ldE, 5682498]
[paragraph, [99.0, 551.0, 578.0, 36.0], qUaIlk_ldE, 5682498]
[paragraph, [99.0, 587.0, 578.0, 36.0], qUaIlk_ldE, 5682498]
[paragraph, [99.0, 623.0, 578.0, 36.0], qUaIlk_ldE, 5682498]
[paragraph, [99.0, 659.0, 578.0, 36.0], qUaIlk_ldE, 5682498]
[paragraph, [99.0, 695.0, 578.0, 36.0], qUaIlk_ldE, 5682498]
[paragraph, [99.0, 731.0, 578.0, 36.0], qUaIlk_ldE, 5682498]
[paragraph, [99.0, 767.0, 578.0, 36.0], qUaIlk_ldE, 5682498]
[paragraph, [99.0, 803.0, 578.0, 36.0], qUaIlk_ldE, 5682498]
[paragraph, [99.0, 839.0, 578.0, 36.0], qUaIlk_ldE, 5682498]
