[1787, 1218]
[paragraph, [113.0, 101.0, 997.0, 36.0], shoonya_2sAFHHG0M99TEH, 5651798]
[paragraph, [113.0, 137.0, 997.0, 36.0], shoonya_2sAFHHG0M99TEH, 5651798]
[paragraph, [113.0, 173.0, 997.0, 36.0], shoonya_2sAFHHG0M99TEH, 5651798]
[paragraph, [105.0, 230.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 266.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 302.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 338.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 374.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 410.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 446.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 482.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 518.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 554.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 590.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 626.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 662.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 698.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 734.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 770.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 806.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 842.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [105.0, 878.0, 1008.0, 36.0], shoonya_1sCZC4AEM6L2J0, 5651798]
[paragraph, [103.0, 916.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 952.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 988.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1024.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1060.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1096.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1132.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1168.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1204.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1240.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1276.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1312.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1348.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1384.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1420.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1456.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1492.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[paragraph, [103.0, 1528.0, 1007.0, 36.0], shoonya_0s6IT9XFMDLLRH, 5651798]
[footnote, [447.0, 1651.0, 239.0, 36.0], 8VR7H4QPWY, 5651798]
