[2339, 1656]
[paragraph, [184.0, 195.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 231.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 267.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 303.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 339.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 375.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 411.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 447.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 483.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 519.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 555.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 591.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 627.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [184.0, 663.0, 1280.0, 36.0], shoonya_0sRLZ8VHH8V2CK, 5731386]
[paragraph, [189.0, 761.0, 1269.0, 36.0], shoonya_3s4PV3VHRSEI7Y, 5731386]
[paragraph, [189.0, 797.0, 1269.0, 36.0], shoonya_3s4PV3VHRSEI7Y, 5731386]
[paragraph, [189.0, 833.0, 1269.0, 36.0], shoonya_3s4PV3VHRSEI7Y, 5731386]
[paragraph, [189.0, 869.0, 1269.0, 36.0], shoonya_3s4PV3VHRSEI7Y, 5731386]
[paragraph, [189.0, 905.0, 1269.0, 36.0], shoonya_3s4PV3VHRSEI7Y, 5731386]
[paragraph, [533.0, 949.0, 934.0, 36.0], I4qYXPwF1z, 5731386]
[paragraph, [533.0, 985.0, 934.0, 36.0], I4qYXPwF1z, 5731386]
[paragraph, [533.0, 1021.0, 934.0, 36.0], I4qYXPwF1z, 5731386]
[paragraph, [533.0, 1057.0, 934.0, 36.0], I4qYXPwF1z, 5731386]
[paragraph, [533.0, 1093.0, 934.0, 36.0], I4qYXPwF1z, 5731386]
[paragraph, [533.0, 1129.0, 934.0, 36.0], I4qYXPwF1z, 5731386]
[paragraph, [533.0, 1165.0, 934.0, 36.0], I4qYXPwF1z, 5731386]
[paragraph, [533.0, 1201.0, 934.0, 36.0], I4qYXPwF1z, 5731386]
[paragraph, [533.0, 1237.0, 934.0, 36.0], I4qYXPwF1z, 5731386]
[paragraph, [533.0, 1273.0, 934.0, 36.0], I4qYXPwF1z, 5731386]
[paragraph, [533.0, 1309.0, 934.0, 36.0], I4qYXPwF1z, 5731386]
[paragraph, [533.0, 1345.0, 934.0, 36.0], I4qYXPwF1z, 5731386]
[paragraph, [181.0, 1404.0, 632.0, 36.0], -0HuUnAI59, 5731386]
[paragraph, [187.0, 1483.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1519.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1555.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1591.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1627.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1663.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1699.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1735.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1771.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1807.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1843.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1879.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1915.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1951.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 1987.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 2023.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
[paragraph, [187.0, 2059.0, 1284.0, 36.0], shoonya_1sDAQ8RZAI00SD, 5731386]
