[792, 612]
[folio, [259.0, 37.0, 124.0, 18.0], FqFadFZY3f, 6493845]
[paragraph, [201.0, 82.0, 211.0, 18.0], Ul0fO-fNqD, 6493845]
[paragraph, [201.0, 100.0, 211.0, 18.0], Ul0fO-fNqD, 6493845]
[paragraph, [201.0, 118.0, 211.0, 18.0], Ul0fO-fNqD, 6493845]
[paragraph, [201.0, 136.0, 211.0, 18.0], Ul0fO-fNqD, 6493845]
[paragraph, [192.0, 173.0, 249.0, 18.0], EXUYaRCrWA, 6493845]
[paragraph, [192.0, 191.0, 249.0, 18.0], EXUYaRCrWA, 6493845]
[paragraph, [192.0, 209.0, 249.0, 18.0], EXUYaRCrWA, 6493845]
[paragraph, [192.0, 227.0, 249.0, 18.0], EXUYaRCrWA, 6493845]
[paragraph, [192.0, 245.0, 249.0, 18.0], EXUYaRCrWA, 6493845]
[paragraph, [192.0, 263.0, 249.0, 18.0], EXUYaRCrWA, 6493845]
[paragraph, [192.0, 281.0, 249.0, 18.0], EXUYaRCrWA, 6493845]
[paragraph, [192.0, 299.0, 249.0, 18.0], EXUYaRCrWA, 6493845]
[paragraph, [192.0, 317.0, 249.0, 18.0], EXUYaRCrWA, 6493845]
[paragraph, [192.0, 335.0, 249.0, 18.0], EXUYaRCrWA, 6493845]
[paragraph, [192.0, 353.0, 249.0, 18.0], EXUYaRCrWA, 6493845]
[paragraph, [192.0, 371.0, 249.0, 18.0], EXUYaRCrWA, 6493845]
[paragraph, [201.0, 402.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 420.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 438.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 456.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 474.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 492.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 510.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 528.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 546.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 564.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 582.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 600.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 618.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 636.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
[paragraph, [201.0, 654.0, 208.0, 18.0], SQbbwp_PyI, 6493845]
