[1162, 749]
[folio, [308.0, 75.0, 141.0, 18.0], shoonya_3s0BHXP7MY72QG, 5700258]
[paragraph, [73.0, 121.0, 605.0, 18.0], I2KtutVndd, 5700258]
[paragraph, [73.0, 139.0, 605.0, 18.0], I2KtutVndd, 5700258]
[paragraph, [73.0, 157.0, 605.0, 18.0], I2KtutVndd, 5700258]
[paragraph, [81.0, 191.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 209.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 227.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 245.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 263.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 281.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 299.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 317.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 335.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 353.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 371.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 389.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 407.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 425.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [81.0, 443.0, 591.0, 18.0], shoonya_2sZCQZS8UXOMBT, 5700258]
[paragraph, [79.0, 466.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 484.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 502.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 520.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 538.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 556.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 574.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 592.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 610.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 628.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 646.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 664.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 682.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 700.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 718.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 736.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 754.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 772.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 790.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [79.0, 808.0, 589.0, 18.0], shoonya_0s8B31I5541M7B, 5700258]
[paragraph, [77.0, 848.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
[paragraph, [77.0, 866.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
[paragraph, [77.0, 884.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
[paragraph, [77.0, 902.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
[paragraph, [77.0, 920.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
[paragraph, [77.0, 938.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
[paragraph, [77.0, 956.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
[paragraph, [77.0, 974.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
[paragraph, [77.0, 992.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
[paragraph, [77.0, 1010.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
[paragraph, [77.0, 1028.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
[paragraph, [77.0, 1046.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
[paragraph, [77.0, 1064.0, 592.0, 18.0], shoonya_1sYCHYURHSX066, 5700258]
