[3509, 2480]
[section-title, [933.0, 747.0, 641.0, 93.0], 5ajv-YDq0V, 5724358]
[paragraph, [303.0, 1001.0, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1053.5, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1106.0, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1158.5, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1211.0, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1263.5, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1316.0, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1368.5, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1421.0, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1473.5, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1526.0, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1578.5, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1631.0, 2002.0, 52.5], Br87llWhNr, 5724358]
[paragraph, [303.0, 1683.5, 2002.0, 52.5], Br87llWhNr, 5724358]
[contact-info, [359.0, 2011.0, 376.0, 52.5], shoonya_2sG0DXKJRJA9A7, 5724358]
[folio, [1686.0, 2080.0, 420.0, 52.5], shoonya_1sIR357JYQ4L4Z, 5724358]
[folio, [1686.0, 2132.5, 420.0, 52.5], shoonya_1sIR357JYQ4L4Z, 5724358]
[placeholder-text, [383.0, 2106.0, 604.0, 18.0], shoonya_0sJ2Q4URY5IWP7, 5724358]
[placeholder-text, [383.0, 2124.0, 604.0, 18.0], shoonya_0sJ2Q4URY5IWP7, 5724358]
[placeholder-text, [383.0, 2142.0, 604.0, 18.0], shoonya_0sJ2Q4URY5IWP7, 5724358]
[placeholder-text, [383.0, 2160.0, 604.0, 18.0], shoonya_0sJ2Q4URY5IWP7, 5724358]
[placeholder-text, [383.0, 2178.0, 604.0, 18.0], shoonya_0sJ2Q4URY5IWP7, 5724358]
