[1468, 909]
[folio, [394.0, 78.0, 153.0, 18.0], PwGKuzcchX, 5770224]
[folio, [394.0, 96.0, 153.0, 18.0], PwGKuzcchX, 5770224]
[paragraph, [110.0, 140.0, 127.0, 18.0], fiu3zhcATm, 5770224]
[paragraph, [110.0, 158.0, 127.0, 18.0], fiu3zhcATm, 5770224]
[paragraph, [488.0, 140.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [488.0, 158.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [488.0, 176.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [488.0, 194.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [488.0, 212.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [488.0, 230.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [488.0, 248.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [488.0, 266.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [488.0, 284.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [488.0, 302.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [488.0, 320.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [488.0, 338.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [488.0, 356.0, 257.0, 18.0], jQgMt0k_rl, 5770224]
[paragraph, [78.0, 170.0, 379.0, 18.0], iIGnqdXqDA, 5770224]
[paragraph, [78.0, 188.0, 379.0, 18.0], iIGnqdXqDA, 5770224]
[paragraph, [78.0, 206.0, 379.0, 18.0], iIGnqdXqDA, 5770224]
[paragraph, [78.0, 224.0, 379.0, 18.0], iIGnqdXqDA, 5770224]
[paragraph, [78.0, 242.0, 379.0, 18.0], iIGnqdXqDA, 5770224]
[paragraph, [78.0, 260.0, 379.0, 18.0], iIGnqdXqDA, 5770224]
[paragraph, [102.0, 288.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [102.0, 306.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [102.0, 324.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [102.0, 342.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [102.0, 360.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [102.0, 378.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [102.0, 396.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [102.0, 414.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [102.0, 432.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [102.0, 450.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [102.0, 468.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [102.0, 486.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [102.0, 504.0, 268.0, 18.0], 53du1u9TJ8, 5770224]
[paragraph, [463.0, 384.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 402.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 420.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 438.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 456.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 474.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 492.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 510.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 528.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 546.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 564.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 582.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 600.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 618.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 636.0, 376.0, 18.0], dPSwAflZKB, 5770224]
[paragraph, [463.0, 654.0, 376.0, 18.0], dPSwAflZKB, 5770224]
