[1507, 1065]
[ordered-list, [0.0, 45.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 81.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 117.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 153.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 189.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 225.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 261.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 297.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 333.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 369.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 405.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 441.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 477.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 513.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 549.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 585.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 621.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 657.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 693.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 729.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 765.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 801.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 837.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 873.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 909.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 945.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 981.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 1017.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 1053.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 1089.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 1125.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 1161.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 1197.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 1233.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 1269.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 1305.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 1341.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
[ordered-list, [0.0, 1377.0, 1064.0, 36.0], shoonya_0sAP74CFTV86GT, 5698378]
