[1370, 839]
[folio, [626.0, 48.0, 115.0, 18.0], 7b9TkmAtsK, 5781702]
[folio, [626.0, 66.0, 115.0, 18.0], 7b9TkmAtsK, 5781702]
[folio, [211.0, 107.0, 421.0, 18.0], shoonya_3sHA0JE59WDK89, 5781702]
[paragraph, [103.0, 146.0, 639.0, 18.0], LbvI5uR4FR, 5781702]
[paragraph, [103.0, 164.0, 639.0, 18.0], LbvI5uR4FR, 5781702]
[ordered-list, [99.0, 191.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [99.0, 209.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [99.0, 227.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [99.0, 245.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [99.0, 263.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [99.0, 281.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [99.0, 299.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [99.0, 317.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [99.0, 335.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [99.0, 353.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [99.0, 371.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [99.0, 389.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [99.0, 407.0, 645.0, 18.0], shoonya_5sRU8FDPVCH15V, 5781702]
[ordered-list, [94.0, 434.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 452.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 470.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 488.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 506.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 524.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 542.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 560.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 578.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 596.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 614.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 632.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 650.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 668.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 686.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 704.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 722.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 740.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 758.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 776.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 794.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[ordered-list, [94.0, 812.0, 660.0, 18.0], Vk-TtrNBpa, 5781702]
[sub-ordered-list, [103.0, 484.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 502.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 520.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 538.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 556.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 574.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 592.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 610.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 628.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 646.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 664.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 682.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 700.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 718.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 736.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 754.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 772.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 790.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[sub-ordered-list, [103.0, 808.0, 643.0, 18.0], zft1GzzGYy, 5781702]
[figure-caption, [138.0, 1121.0, 170.0, 18.0], shoonya_2sEQ924Y6OM4EU, 5781702]
[figure-caption, [138.0, 1139.0, 170.0, 18.0], shoonya_2sEQ924Y6OM4EU, 5781702]
[figure-caption, [138.0, 1157.0, 170.0, 18.0], shoonya_2sEQ924Y6OM4EU, 5781702]
[figure-caption, [451.0, 1122.0, 187.0, 18.0], shoonya_4sUTFBOG18J6CP, 5781702]
[figure-caption, [451.0, 1140.0, 187.0, 18.0], shoonya_4sUTFBOG18J6CP, 5781702]
[figure-caption, [451.0, 1158.0, 187.0, 18.0], shoonya_4sUTFBOG18J6CP, 5781702]
[sidebar, [648.0, 1193.0, 97.0, 18.0], shoonya_6s9BLTPSVZMK81, 5781702]
[figure-caption, [249.0, 1209.0, 351.0, 18.0], dnJOihhHkw, 5781702]
