[1230, 741]
[folio, [358.0, 164.0, 106.0, 18.0], Onm8FbPZ9O, 5701948]
[paragraph, [117.0, 238.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 256.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 274.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 292.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 310.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 328.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 346.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 364.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 382.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 400.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 418.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 436.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 454.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 472.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 490.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 508.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 526.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 544.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 562.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 580.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 598.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 616.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [117.0, 634.0, 579.0, 18.0], shoonya_0sIWQP9MZQ4MGG, 5701948]
[paragraph, [113.0, 688.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 706.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 724.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 742.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 760.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 778.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 796.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 814.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 832.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 850.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 868.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 886.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 904.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 922.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 940.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 958.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 976.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 994.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
[paragraph, [113.0, 1012.0, 578.0, 18.0], shoonya_1sAT7J181HDRNM, 5701948]
