[1300, 900]
[folio, [328.0, 37.0, 235.0, 18.0], XhmV3ooeh6, 5730842]
[paragraph, [203.0, 101.0, 492.0, 18.0], shoonya_1s27UZ1TFHLLIP, 5730842]
[paragraph, [203.0, 119.0, 492.0, 18.0], shoonya_1s27UZ1TFHLLIP, 5730842]
[paragraph, [203.0, 137.0, 492.0, 18.0], shoonya_1s27UZ1TFHLLIP, 5730842]
[paragraph, [203.0, 155.0, 492.0, 18.0], shoonya_1s27UZ1TFHLLIP, 5730842]
[paragraph, [203.0, 173.0, 492.0, 18.0], shoonya_1s27UZ1TFHLLIP, 5730842]
[paragraph, [203.0, 191.0, 492.0, 18.0], shoonya_1s27UZ1TFHLLIP, 5730842]
[paragraph, [203.0, 209.0, 492.0, 18.0], shoonya_1s27UZ1TFHLLIP, 5730842]
[paragraph, [597.0, 238.0, 195.0, 18.0], MFKrzOUr59, 5730842]
[paragraph, [86.0, 272.0, 708.0, 18.0], shoonya_0s3IONOL5SJVOY, 5730842]
[paragraph, [86.0, 290.0, 708.0, 18.0], shoonya_0s3IONOL5SJVOY, 5730842]
[paragraph, [86.0, 308.0, 708.0, 18.0], shoonya_0s3IONOL5SJVOY, 5730842]
[paragraph, [86.0, 326.0, 708.0, 18.0], shoonya_0s3IONOL5SJVOY, 5730842]
[paragraph, [86.0, 344.0, 708.0, 18.0], shoonya_0s3IONOL5SJVOY, 5730842]
[paragraph, [86.0, 362.0, 708.0, 18.0], shoonya_0s3IONOL5SJVOY, 5730842]
[paragraph, [86.0, 380.0, 708.0, 18.0], shoonya_0s3IONOL5SJVOY, 5730842]
[paragraph, [86.0, 398.0, 708.0, 18.0], shoonya_0s3IONOL5SJVOY, 5730842]
[paragraph, [86.0, 416.0, 708.0, 18.0], shoonya_0s3IONOL5SJVOY, 5730842]
[paragraph, [93.0, 446.0, 701.0, 18.0], shoonya_2s7CCGQ836RQLN, 5730842]
[paragraph, [93.0, 464.0, 701.0, 18.0], shoonya_2s7CCGQ836RQLN, 5730842]
[paragraph, [93.0, 482.0, 701.0, 18.0], shoonya_2s7CCGQ836RQLN, 5730842]
[paragraph, [93.0, 500.0, 701.0, 18.0], shoonya_2s7CCGQ836RQLN, 5730842]
[paragraph, [93.0, 518.0, 701.0, 18.0], shoonya_2s7CCGQ836RQLN, 5730842]
[paragraph, [93.0, 536.0, 701.0, 18.0], shoonya_2s7CCGQ836RQLN, 5730842]
[paragraph, [93.0, 554.0, 701.0, 18.0], shoonya_2s7CCGQ836RQLN, 5730842]
[paragraph, [92.0, 576.0, 701.0, 18.0], shoonya_3s2SUF7AQKDDZN, 5730842]
[paragraph, [92.0, 594.0, 701.0, 18.0], shoonya_3s2SUF7AQKDDZN, 5730842]
[paragraph, [92.0, 612.0, 701.0, 18.0], shoonya_3s2SUF7AQKDDZN, 5730842]
[paragraph, [92.0, 630.0, 701.0, 18.0], shoonya_3s2SUF7AQKDDZN, 5730842]
[paragraph, [200.0, 661.0, 497.0, 18.0], shoonya_4s1EQS6U5HOCIE, 5730842]
[paragraph, [200.0, 679.0, 497.0, 18.0], shoonya_4s1EQS6U5HOCIE, 5730842]
[paragraph, [200.0, 697.0, 497.0, 18.0], shoonya_4s1EQS6U5HOCIE, 5730842]
[paragraph, [200.0, 715.0, 497.0, 18.0], shoonya_4s1EQS6U5HOCIE, 5730842]
[paragraph, [200.0, 733.0, 497.0, 18.0], shoonya_4s1EQS6U5HOCIE, 5730842]
[paragraph, [626.0, 756.0, 165.0, 18.0], FWqkEET2CK, 5730842]
[paragraph, [94.0, 792.0, 706.0, 18.0], 3GyeEUH4zG, 5730842]
[paragraph, [94.0, 810.0, 706.0, 18.0], 3GyeEUH4zG, 5730842]
[paragraph, [94.0, 828.0, 706.0, 18.0], 3GyeEUH4zG, 5730842]
[paragraph, [94.0, 846.0, 706.0, 18.0], 3GyeEUH4zG, 5730842]
[paragraph, [94.0, 864.0, 706.0, 18.0], 3GyeEUH4zG, 5730842]
[paragraph, [94.0, 882.0, 706.0, 18.0], 3GyeEUH4zG, 5730842]
[paragraph, [94.0, 900.0, 706.0, 18.0], 3GyeEUH4zG, 5730842]
[paragraph, [96.0, 921.0, 710.0, 18.0], MzoS3_IwRi, 5730842]
[paragraph, [96.0, 939.0, 710.0, 18.0], MzoS3_IwRi, 5730842]
[paragraph, [96.0, 957.0, 710.0, 18.0], MzoS3_IwRi, 5730842]
[paragraph, [96.0, 975.0, 710.0, 18.0], MzoS3_IwRi, 5730842]
[paragraph, [96.0, 993.0, 710.0, 18.0], MzoS3_IwRi, 5730842]
[paragraph, [96.0, 1011.0, 710.0, 18.0], MzoS3_IwRi, 5730842]
[paragraph, [96.0, 1029.0, 710.0, 18.0], MzoS3_IwRi, 5730842]
[paragraph, [200.0, 1048.0, 503.0, 18.0], Balo78tCYa, 5730842]
[paragraph, [200.0, 1066.0, 503.0, 18.0], Balo78tCYa, 5730842]
[paragraph, [200.0, 1084.0, 503.0, 18.0], Balo78tCYa, 5730842]
[paragraph, [200.0, 1102.0, 503.0, 18.0], Balo78tCYa, 5730842]
[paragraph, [626.0, 1139.0, 167.0, 18.0], S-ULz2F0S1, 5730842]
[paragraph, [96.0, 1174.0, 704.0, 18.0], aLzFbnp7J6, 5730842]
[paragraph, [96.0, 1192.0, 704.0, 18.0], aLzFbnp7J6, 5730842]
[paragraph, [96.0, 1210.0, 704.0, 18.0], aLzFbnp7J6, 5730842]
[paragraph, [96.0, 1228.0, 704.0, 18.0], aLzFbnp7J6, 5730842]
