[679, 512]
[ordered-list, [49.0, 32.0, 417.0, 18.0], AXsGuFdSGA, 6494109]
[ordered-list, [49.0, 50.0, 417.0, 18.0], AXsGuFdSGA, 6494109]
[ordered-list, [49.0, 68.0, 417.0, 18.0], AXsGuFdSGA, 6494109]
[ordered-list, [49.0, 86.0, 417.0, 18.0], AXsGuFdSGA, 6494109]
[ordered-list, [49.0, 104.0, 417.0, 18.0], AXsGuFdSGA, 6494109]
[ordered-list, [49.0, 122.0, 417.0, 18.0], AXsGuFdSGA, 6494109]
[ordered-list, [49.0, 140.0, 417.0, 18.0], AXsGuFdSGA, 6494109]
[ordered-list, [49.0, 158.0, 417.0, 18.0], AXsGuFdSGA, 6494109]
[sub-ordered-list, [76.0, 43.0, 383.0, 18.0], mbNJyJgKS2, 6494109]
[sub-ordered-list, [76.0, 61.0, 383.0, 18.0], mbNJyJgKS2, 6494109]
[sub-ordered-list, [76.0, 79.0, 383.0, 18.0], mbNJyJgKS2, 6494109]
[sub-ordered-list, [76.0, 97.0, 383.0, 18.0], mbNJyJgKS2, 6494109]
[sub-ordered-list, [76.0, 115.0, 383.0, 18.0], mbNJyJgKS2, 6494109]
[ordered-list, [44.0, 210.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 228.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 246.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 264.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 282.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 300.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 318.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 336.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 354.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 372.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 390.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 408.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 426.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 444.0, 425.0, 18.0], d4DbppykDH, 6494109]
[ordered-list, [44.0, 462.0, 425.0, 18.0], d4DbppykDH, 6494109]
[sub-ordered-list, [72.0, 244.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[sub-ordered-list, [72.0, 262.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[sub-ordered-list, [72.0, 280.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[sub-ordered-list, [72.0, 298.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[sub-ordered-list, [72.0, 316.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[sub-ordered-list, [72.0, 334.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[sub-ordered-list, [72.0, 352.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[sub-ordered-list, [72.0, 370.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[sub-ordered-list, [72.0, 388.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[sub-ordered-list, [72.0, 406.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[sub-ordered-list, [72.0, 424.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[sub-ordered-list, [72.0, 442.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[sub-ordered-list, [72.0, 460.0, 389.0, 18.0], 9jXkK0LRis, 6494109]
[ordered-list, [47.0, 523.0, 421.0, 18.0], IYPHBfYyPs, 6494109]
[ordered-list, [47.0, 541.0, 421.0, 18.0], IYPHBfYyPs, 6494109]
[ordered-list, [47.0, 559.0, 421.0, 18.0], IYPHBfYyPs, 6494109]
[ordered-list, [47.0, 577.0, 421.0, 18.0], IYPHBfYyPs, 6494109]
[sub-ordered-list, [78.0, 556.0, 381.0, 18.0], OB_8GsJL1K, 6494109]
[sub-ordered-list, [78.0, 574.0, 381.0, 18.0], OB_8GsJL1K, 6494109]
[folio, [156.0, 615.0, 168.0, 18.0], Gfw9PTGvbn, 6494109]
