[612, 396]
[paragraph, [39.0, 59.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 77.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 95.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 113.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 131.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 149.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 167.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 185.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 203.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 221.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 239.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 257.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 275.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 293.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 311.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 329.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 347.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 365.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 383.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 401.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 419.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 437.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 455.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 473.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 491.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 509.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 527.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
[paragraph, [39.0, 545.0, 317.0, 18.0], shoonya_0s9IWCG0LUCX77, 6514850]
