[1650, 1275]
[paragraph, [256.0, 132.0, 829.0, 36.0], s58s8dQtGz, 6470892]
[paragraph, [256.0, 168.0, 829.0, 36.0], s58s8dQtGz, 6470892]
[paragraph, [256.0, 204.0, 829.0, 36.0], s58s8dQtGz, 6470892]
[paragraph, [256.0, 240.0, 829.0, 36.0], s58s8dQtGz, 6470892]
[paragraph, [256.0, 276.0, 829.0, 36.0], s58s8dQtGz, 6470892]
[paragraph, [256.0, 356.0, 830.0, 36.0], l4ftjpJF5J, 6470892]
[paragraph, [256.0, 392.0, 830.0, 36.0], l4ftjpJF5J, 6470892]
[paragraph, [256.0, 428.0, 830.0, 36.0], l4ftjpJF5J, 6470892]
[paragraph, [256.0, 464.0, 830.0, 36.0], l4ftjpJF5J, 6470892]
[paragraph, [256.0, 500.0, 830.0, 36.0], l4ftjpJF5J, 6470892]
[paragraph, [256.0, 536.0, 830.0, 36.0], l4ftjpJF5J, 6470892]
[paragraph, [256.0, 572.0, 830.0, 36.0], l4ftjpJF5J, 6470892]
[paragraph, [256.0, 608.0, 830.0, 36.0], l4ftjpJF5J, 6470892]
[paragraph, [256.0, 644.0, 830.0, 36.0], l4ftjpJF5J, 6470892]
[paragraph, [256.0, 680.0, 830.0, 36.0], l4ftjpJF5J, 6470892]
[paragraph, [256.0, 716.0, 830.0, 36.0], l4ftjpJF5J, 6470892]
[paragraph, [255.0, 779.0, 833.0, 36.0], shoonya_0sBOUXJ7QDHRCG, 6470892]
[paragraph, [255.0, 815.0, 833.0, 36.0], shoonya_0sBOUXJ7QDHRCG, 6470892]
[paragraph, [255.0, 851.0, 833.0, 36.0], shoonya_0sBOUXJ7QDHRCG, 6470892]
[paragraph, [255.0, 887.0, 833.0, 36.0], shoonya_0sBOUXJ7QDHRCG, 6470892]
[paragraph, [255.0, 923.0, 833.0, 36.0], shoonya_0sBOUXJ7QDHRCG, 6470892]
[paragraph, [255.0, 959.0, 833.0, 36.0], shoonya_0sBOUXJ7QDHRCG, 6470892]
[paragraph, [255.0, 995.0, 833.0, 36.0], shoonya_0sBOUXJ7QDHRCG, 6470892]
[paragraph, [255.0, 1031.0, 833.0, 36.0], shoonya_0sBOUXJ7QDHRCG, 6470892]
[paragraph, [255.0, 1067.0, 833.0, 36.0], shoonya_0sBOUXJ7QDHRCG, 6470892]
[paragraph, [255.0, 1103.0, 833.0, 36.0], shoonya_0sBOUXJ7QDHRCG, 6470892]
[paragraph, [255.0, 1139.0, 833.0, 36.0], shoonya_0sBOUXJ7QDHRCG, 6470892]
[paragraph, [397.0, 1219.0, 288.0, 36.0], e0I6JZuaJc, 6470892]
[paragraph, [397.0, 1255.0, 288.0, 36.0], e0I6JZuaJc, 6470892]
[paragraph, [397.0, 1291.0, 288.0, 36.0], e0I6JZuaJc, 6470892]
[paragraph, [397.0, 1327.0, 288.0, 36.0], e0I6JZuaJc, 6470892]
[paragraph, [397.0, 1363.0, 288.0, 36.0], e0I6JZuaJc, 6470892]
