[1238, 769]
[paragraph, [72.0, 74.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 92.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 110.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 128.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 146.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 164.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 182.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 200.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 218.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 236.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 254.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 272.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 290.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 308.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 326.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 344.0, 640.0, 18.0], shoonya_1s2W0WFR9HTVS1, 6469914]
[paragraph, [72.0, 379.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 397.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 415.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 433.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 451.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 469.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 487.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 505.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 523.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 541.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 559.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 577.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 595.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 613.0, 640.0, 18.0], shoonya_0s25ZXIHE19DH8, 6469914]
[paragraph, [72.0, 645.0, 642.0, 18.0], wvb2kCC8rW, 6469914]
[paragraph, [72.0, 663.0, 642.0, 18.0], wvb2kCC8rW, 6469914]
[paragraph, [72.0, 681.0, 642.0, 18.0], wvb2kCC8rW, 6469914]
[paragraph, [69.0, 705.0, 646.0, 18.0], uVys5K5LXh, 6469914]
[paragraph, [69.0, 723.0, 646.0, 18.0], uVys5K5LXh, 6469914]
[paragraph, [69.0, 741.0, 646.0, 18.0], uVys5K5LXh, 6469914]
[paragraph, [69.0, 766.0, 649.0, 18.0], aJWzHOI2mQ, 6469914]
[paragraph, [69.0, 784.0, 649.0, 18.0], aJWzHOI2mQ, 6469914]
[paragraph, [69.0, 802.0, 649.0, 18.0], aJWzHOI2mQ, 6469914]
[paragraph, [69.0, 820.0, 649.0, 18.0], aJWzHOI2mQ, 6469914]
[paragraph, [69.0, 857.0, 653.0, 18.0], mvOtcagbOg, 6469914]
[paragraph, [69.0, 875.0, 653.0, 18.0], mvOtcagbOg, 6469914]
[paragraph, [69.0, 893.0, 653.0, 18.0], mvOtcagbOg, 6469914]
[paragraph, [69.0, 911.0, 653.0, 18.0], mvOtcagbOg, 6469914]
[paragraph, [69.0, 929.0, 653.0, 18.0], mvOtcagbOg, 6469914]
[paragraph, [69.0, 947.0, 653.0, 18.0], mvOtcagbOg, 6469914]
[paragraph, [69.0, 965.0, 653.0, 18.0], mvOtcagbOg, 6469914]
[paragraph, [67.0, 1003.0, 657.0, 18.0], hENd4WT7NJ, 6469914]
[paragraph, [67.0, 1021.0, 657.0, 18.0], hENd4WT7NJ, 6469914]
[paragraph, [67.0, 1039.0, 657.0, 18.0], hENd4WT7NJ, 6469914]
[paragraph, [67.0, 1057.0, 657.0, 18.0], hENd4WT7NJ, 6469914]
[folio, [114.0, 1104.0, 199.0, 18.0], 1YlVx6BOXx, 6469914]
