[1650, 1275]
[ordered-list, [328.0, 180.0, 299.0, 36.0], shoonya_4sCRKP9VEO633F, 6470758]
[ordered-list, [328.0, 216.0, 299.0, 36.0], shoonya_4sCRKP9VEO633F, 6470758]
[paragraph, [254.0, 298.0, 848.0, 36.0], shoonya_1sSXCDNJEYJ6BW, 6470758]
[paragraph, [254.0, 334.0, 848.0, 36.0], shoonya_1sSXCDNJEYJ6BW, 6470758]
[paragraph, [254.0, 370.0, 848.0, 36.0], shoonya_1sSXCDNJEYJ6BW, 6470758]
[paragraph, [254.0, 406.0, 848.0, 36.0], shoonya_1sSXCDNJEYJ6BW, 6470758]
[paragraph, [254.0, 442.0, 848.0, 36.0], shoonya_1sSXCDNJEYJ6BW, 6470758]
[paragraph, [254.0, 478.0, 848.0, 36.0], shoonya_1sSXCDNJEYJ6BW, 6470758]
[paragraph, [254.0, 514.0, 848.0, 36.0], shoonya_1sSXCDNJEYJ6BW, 6470758]
[paragraph, [255.0, 612.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 648.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 684.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 720.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 756.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 792.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 828.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 864.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 900.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 936.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 972.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 1008.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 1044.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 1080.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 1116.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 1152.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 1188.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [255.0, 1224.0, 847.0, 36.0], shoonya_0sZLUI4KLVMKUS, 6470758]
[paragraph, [257.0, 1280.0, 840.0, 36.0], 3hxUzSC46n, 6470758]
[paragraph, [257.0, 1316.0, 840.0, 36.0], 3hxUzSC46n, 6470758]
[paragraph, [257.0, 1352.0, 840.0, 36.0], 3hxUzSC46n, 6470758]
[footnote, [260.0, 1445.0, 384.0, 36.0], shoonya_2s2XZHMUIAK03J, 6470758]
