[612, 792]
[paragraph, [396.0, 41.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 59.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 77.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 95.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 113.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 131.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 149.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 167.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 185.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 203.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 221.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 239.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 257.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 275.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [396.0, 293.0, 319.0, 18.0], b4Lo_lj-kc, 6534883]
[paragraph, [62.0, 47.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 65.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 83.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 101.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 119.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 137.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 155.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 173.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 191.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 209.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 227.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 245.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 263.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 281.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 299.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 317.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [62.0, 335.0, 318.0, 18.0], shoonya_0s09D1B33YR63H, 6534883]
[paragraph, [393.0, 319.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [393.0, 337.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [393.0, 355.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [393.0, 373.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [393.0, 391.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [393.0, 409.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [393.0, 427.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [393.0, 445.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [393.0, 463.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [393.0, 481.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [393.0, 499.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [393.0, 517.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [393.0, 535.0, 324.0, 18.0], 0pgGsfKj0B, 6534883]
[paragraph, [59.0, 367.0, 323.0, 18.0], 2CEn0o0C6K, 6534883]
[paragraph, [59.0, 385.0, 323.0, 18.0], 2CEn0o0C6K, 6534883]
[paragraph, [59.0, 403.0, 323.0, 18.0], 2CEn0o0C6K, 6534883]
[paragraph, [59.0, 421.0, 323.0, 18.0], 2CEn0o0C6K, 6534883]
[paragraph, [59.0, 439.0, 323.0, 18.0], 2CEn0o0C6K, 6534883]
[paragraph, [59.0, 457.0, 323.0, 18.0], 2CEn0o0C6K, 6534883]
[paragraph, [59.0, 475.0, 323.0, 18.0], 2CEn0o0C6K, 6534883]
[paragraph, [59.0, 493.0, 323.0, 18.0], 2CEn0o0C6K, 6534883]
[paragraph, [59.0, 511.0, 323.0, 18.0], 2CEn0o0C6K, 6534883]
[paragraph, [59.0, 529.0, 323.0, 18.0], 2CEn0o0C6K, 6534883]
[paragraph, [59.0, 547.0, 323.0, 18.0], 2CEn0o0C6K, 6534883]
