[1806, 1262]
[folio, [627.0, 100.0, 460.0, 36.0], shoonya_5sCJFFQRL4SCGA, 5681599]
[paragraph, [665.0, 176.0, 495.0, 36.0], shoonya_3sSX91KL3JLFGQ, 5681599]
[paragraph, [665.0, 212.0, 495.0, 36.0], shoonya_3sSX91KL3JLFGQ, 5681599]
[paragraph, [665.0, 248.0, 495.0, 36.0], shoonya_3sSX91KL3JLFGQ, 5681599]
[paragraph, [665.0, 284.0, 495.0, 36.0], shoonya_3sSX91KL3JLFGQ, 5681599]
[paragraph, [97.0, 180.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 216.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 252.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 288.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 324.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 360.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 396.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 432.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 468.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 504.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 540.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 576.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 612.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 648.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 684.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 720.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [97.0, 756.0, 500.0, 36.0], shoonya_4sVV51MWIJO05S, 5681599]
[paragraph, [666.0, 328.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [666.0, 364.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [666.0, 400.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [666.0, 436.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [666.0, 472.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [666.0, 508.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [666.0, 544.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [666.0, 580.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [666.0, 616.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [666.0, 652.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [666.0, 688.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [666.0, 724.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [666.0, 760.0, 493.0, 36.0], shoonya_1sM8UC7P8XXRVE, 5681599]
[paragraph, [662.0, 844.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 880.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 916.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 952.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 988.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1024.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1060.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1096.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1132.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1168.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1204.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1240.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1276.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1312.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1348.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1384.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1420.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1456.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1492.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [662.0, 1528.0, 495.0, 36.0], t_dZrt6HSo, 5681599]
[paragraph, [99.0, 880.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 916.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 952.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 988.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 1024.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 1060.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 1096.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 1132.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 1168.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 1204.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 1240.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 1276.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 1312.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 1348.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [99.0, 1384.0, 504.0, 36.0], tDb-emwS0z, 5681599]
[paragraph, [104.0, 1454.0, 497.0, 36.0], shoonya_2sOCI0YMLZVUX7, 5681599]
[paragraph, [104.0, 1490.0, 497.0, 36.0], shoonya_2sOCI0YMLZVUX7, 5681599]
[paragraph, [104.0, 1526.0, 497.0, 36.0], shoonya_2sOCI0YMLZVUX7, 5681599]
[paragraph, [104.0, 1562.0, 497.0, 36.0], shoonya_2sOCI0YMLZVUX7, 5681599]
[paragraph, [104.0, 1598.0, 497.0, 36.0], shoonya_2sOCI0YMLZVUX7, 5681599]
[paragraph, [104.0, 1634.0, 497.0, 36.0], shoonya_2sOCI0YMLZVUX7, 5681599]
[paragraph, [104.0, 1670.0, 497.0, 36.0], shoonya_2sOCI0YMLZVUX7, 5681599]
[paragraph, [665.0, 1593.0, 494.0, 36.0], shoonya_0sKNCM59H0QA0R, 5681599]
[paragraph, [665.0, 1629.0, 494.0, 36.0], shoonya_0sKNCM59H0QA0R, 5681599]
[paragraph, [665.0, 1665.0, 494.0, 36.0], shoonya_0sKNCM59H0QA0R, 5681599]
