[814, 624]
[folio, [262.0, 74.0, 93.0, 18.0], WH5IP3ycHs, 5690460]
[paragraph, [78.0, 133.0, 462.0, 18.0], shoonya_0sHZSCSK6L614K, 5690460]
[paragraph, [78.0, 151.0, 462.0, 18.0], shoonya_0sHZSCSK6L614K, 5690460]
[paragraph, [78.0, 169.0, 462.0, 18.0], shoonya_0sHZSCSK6L614K, 5690460]
[paragraph, [78.0, 187.0, 462.0, 18.0], shoonya_0sHZSCSK6L614K, 5690460]
[paragraph, [78.0, 205.0, 462.0, 18.0], shoonya_0sHZSCSK6L614K, 5690460]
[paragraph, [78.0, 223.0, 462.0, 18.0], shoonya_0sHZSCSK6L614K, 5690460]
[paragraph, [78.0, 241.0, 462.0, 18.0], shoonya_0sHZSCSK6L614K, 5690460]
[paragraph, [78.0, 259.0, 462.0, 18.0], shoonya_0sHZSCSK6L614K, 5690460]
[paragraph, [76.0, 296.0, 467.0, 18.0], lg5AomgjdG, 5690460]
[paragraph, [76.0, 314.0, 467.0, 18.0], lg5AomgjdG, 5690460]
[paragraph, [76.0, 332.0, 467.0, 18.0], lg5AomgjdG, 5690460]
[paragraph, [76.0, 350.0, 467.0, 18.0], lg5AomgjdG, 5690460]
[paragraph, [76.0, 368.0, 467.0, 18.0], lg5AomgjdG, 5690460]
[paragraph, [76.0, 386.0, 467.0, 18.0], lg5AomgjdG, 5690460]
[paragraph, [76.0, 404.0, 467.0, 18.0], lg5AomgjdG, 5690460]
[paragraph, [76.0, 437.0, 468.0, 18.0], z6h_5Aedg4, 5690460]
[paragraph, [76.0, 455.0, 468.0, 18.0], z6h_5Aedg4, 5690460]
[paragraph, [76.0, 473.0, 468.0, 18.0], z6h_5Aedg4, 5690460]
[paragraph, [76.0, 491.0, 468.0, 18.0], z6h_5Aedg4, 5690460]
[unordered-list, [73.0, 529.0, 474.0, 18.0], uRLthDLuwG, 5690460]
[unordered-list, [73.0, 547.0, 474.0, 18.0], uRLthDLuwG, 5690460]
[unordered-list, [73.0, 565.0, 474.0, 18.0], uRLthDLuwG, 5690460]
[unordered-list, [73.0, 583.0, 474.0, 18.0], uRLthDLuwG, 5690460]
[unordered-list, [73.0, 601.0, 474.0, 18.0], uRLthDLuwG, 5690460]
[unordered-list, [73.0, 619.0, 474.0, 18.0], uRLthDLuwG, 5690460]
[unordered-list, [73.0, 637.0, 474.0, 18.0], uRLthDLuwG, 5690460]
[unordered-list, [73.0, 655.0, 474.0, 18.0], uRLthDLuwG, 5690460]
[unordered-list, [73.0, 673.0, 474.0, 18.0], uRLthDLuwG, 5690460]
[unordered-list, [73.0, 691.0, 474.0, 18.0], uRLthDLuwG, 5690460]
[unordered-list, [73.0, 709.0, 474.0, 18.0], uRLthDLuwG, 5690460]
