[2339, 1653]
[paragraph, [390.0, 197.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 233.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 269.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 305.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 341.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 377.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 413.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 449.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 485.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 521.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 557.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 593.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 629.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 665.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 701.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 737.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 773.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 809.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 845.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 881.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 917.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [390.0, 953.0, 1072.0, 36.0], shoonya_0s5U59KM8GY7UG, 5733758]
[paragraph, [393.0, 1012.0, 1072.0, 36.0], shoonya_2sANSAI2DC27Y4, 5733758]
[paragraph, [393.0, 1048.0, 1072.0, 36.0], shoonya_2sANSAI2DC27Y4, 5733758]
[paragraph, [393.0, 1084.0, 1072.0, 36.0], shoonya_2sANSAI2DC27Y4, 5733758]
[paragraph, [393.0, 1120.0, 1072.0, 36.0], shoonya_2sANSAI2DC27Y4, 5733758]
[paragraph, [393.0, 1156.0, 1072.0, 36.0], shoonya_2sANSAI2DC27Y4, 5733758]
[paragraph, [393.0, 1192.0, 1072.0, 36.0], shoonya_2sANSAI2DC27Y4, 5733758]
[paragraph, [393.0, 1228.0, 1072.0, 36.0], shoonya_2sANSAI2DC27Y4, 5733758]
[paragraph, [388.0, 1309.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1345.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1381.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1417.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1453.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1489.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1525.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1561.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1597.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1633.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1669.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1705.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1741.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1777.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1813.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1849.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [388.0, 1885.0, 1072.0, 36.0], shoonya_1sE8MJ5N8TL12T, 5733758]
[paragraph, [391.0, 1949.0, 1069.0, 36.0], shoonya_3sY5WO422CF8OR, 5733758]
[paragraph, [391.0, 1985.0, 1069.0, 36.0], shoonya_3sY5WO422CF8OR, 5733758]
[paragraph, [391.0, 2021.0, 1069.0, 36.0], shoonya_3sY5WO422CF8OR, 5733758]
[paragraph, [391.0, 2057.0, 1069.0, 36.0], shoonya_3sY5WO422CF8OR, 5733758]
[folio, [779.0, 2181.0, 600.0, 36.0], shoonya_4sJ5IRP2P7YCJ4, 5733758]
