[1050, 693]
[folio, [526.0, 77.0, 83.0, 18.0], shoonya_2sJN1XVW6FNJEQ, 5701880]
[folio, [526.0, 95.0, 83.0, 18.0], shoonya_2sJN1XVW6FNJEQ, 5701880]
[paragraph, [83.0, 123.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 141.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 159.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 177.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 195.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 213.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 231.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 249.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 267.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 285.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 303.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 321.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 339.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 357.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 375.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 393.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 411.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 429.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [83.0, 447.0, 530.0, 18.0], shoonya_0sNHP1P3L6QHI5, 5701880]
[paragraph, [84.0, 477.0, 527.0, 18.0], 2yaA2zAdpm, 5701880]
[paragraph, [84.0, 495.0, 527.0, 18.0], 2yaA2zAdpm, 5701880]
[paragraph, [84.0, 513.0, 527.0, 18.0], 2yaA2zAdpm, 5701880]
[paragraph, [84.0, 547.0, 521.0, 18.0], 76zellpnEy, 5701880]
[paragraph, [84.0, 565.0, 521.0, 18.0], 76zellpnEy, 5701880]
[paragraph, [84.0, 583.0, 521.0, 18.0], 76zellpnEy, 5701880]
[paragraph, [82.0, 616.0, 527.0, 18.0], shoonya_1sPFV48JX0SOIF, 5701880]
[paragraph, [82.0, 634.0, 527.0, 18.0], shoonya_1sPFV48JX0SOIF, 5701880]
[paragraph, [82.0, 652.0, 527.0, 18.0], shoonya_1sPFV48JX0SOIF, 5701880]
[paragraph, [82.0, 670.0, 527.0, 18.0], shoonya_1sPFV48JX0SOIF, 5701880]
[paragraph, [82.0, 688.0, 527.0, 18.0], shoonya_1sPFV48JX0SOIF, 5701880]
[paragraph, [82.0, 706.0, 527.0, 18.0], shoonya_1sPFV48JX0SOIF, 5701880]
[paragraph, [82.0, 724.0, 527.0, 18.0], shoonya_1sPFV48JX0SOIF, 5701880]
[paragraph, [82.0, 742.0, 527.0, 18.0], shoonya_1sPFV48JX0SOIF, 5701880]
[paragraph, [82.0, 760.0, 527.0, 18.0], shoonya_1sPFV48JX0SOIF, 5701880]
[paragraph, [82.0, 778.0, 527.0, 18.0], shoonya_1sPFV48JX0SOIF, 5701880]
[paragraph, [83.0, 813.0, 536.0, 18.0], shoonya_3sA3M2SP153IRR, 5701880]
[paragraph, [83.0, 831.0, 536.0, 18.0], shoonya_3sA3M2SP153IRR, 5701880]
[paragraph, [83.0, 849.0, 536.0, 18.0], shoonya_3sA3M2SP153IRR, 5701880]
[paragraph, [83.0, 867.0, 536.0, 18.0], shoonya_3sA3M2SP153IRR, 5701880]
[paragraph, [83.0, 885.0, 536.0, 18.0], shoonya_3sA3M2SP153IRR, 5701880]
[paragraph, [83.0, 903.0, 536.0, 18.0], shoonya_3sA3M2SP153IRR, 5701880]
[paragraph, [83.0, 921.0, 536.0, 18.0], shoonya_3sA3M2SP153IRR, 5701880]
[paragraph, [83.0, 939.0, 536.0, 18.0], shoonya_3sA3M2SP153IRR, 5701880]
