[2334, 1650]
[paragraph, [261.0, 113.0, 1231.0, 36.0], shoonya_0sPATOM2W341DD, 5652387]
[paragraph, [261.0, 149.0, 1231.0, 36.0], shoonya_0sPATOM2W341DD, 5652387]
[paragraph, [261.0, 185.0, 1231.0, 36.0], shoonya_0sPATOM2W341DD, 5652387]
[paragraph, [261.0, 221.0, 1231.0, 36.0], shoonya_0sPATOM2W341DD, 5652387]
[paragraph, [226.0, 261.0, 634.0, 36.0], 2unMubcpj5, 5652387]
[paragraph, [226.0, 297.0, 634.0, 36.0], 2unMubcpj5, 5652387]
[paragraph, [268.0, 323.0, 1240.0, 36.0], JK-CaivytT, 5652387]
[paragraph, [268.0, 359.0, 1240.0, 36.0], JK-CaivytT, 5652387]
[paragraph, [268.0, 395.0, 1240.0, 36.0], JK-CaivytT, 5652387]
[paragraph, [268.0, 431.0, 1240.0, 36.0], JK-CaivytT, 5652387]
[paragraph, [268.0, 467.0, 1240.0, 36.0], JK-CaivytT, 5652387]
[paragraph, [268.0, 503.0, 1240.0, 36.0], JK-CaivytT, 5652387]
[paragraph, [268.0, 539.0, 1240.0, 36.0], JK-CaivytT, 5652387]
[paragraph, [268.0, 575.0, 1240.0, 36.0], JK-CaivytT, 5652387]
[paragraph, [268.0, 611.0, 1240.0, 36.0], JK-CaivytT, 5652387]
[paragraph, [268.0, 647.0, 1240.0, 36.0], JK-CaivytT, 5652387]
[paragraph, [268.0, 683.0, 1240.0, 36.0], JK-CaivytT, 5652387]
[paragraph, [268.0, 719.0, 1240.0, 36.0], JK-CaivytT, 5652387]
[paragraph, [306.0, 766.0, 1181.0, 36.0], s0TBaKDpXI, 5652387]
[paragraph, [306.0, 802.0, 1181.0, 36.0], s0TBaKDpXI, 5652387]
[paragraph, [306.0, 838.0, 1181.0, 36.0], s0TBaKDpXI, 5652387]
[paragraph, [284.0, 881.0, 1260.0, 36.0], J-hjQL7vaX, 5652387]
[paragraph, [284.0, 917.0, 1260.0, 36.0], J-hjQL7vaX, 5652387]
[paragraph, [284.0, 953.0, 1260.0, 36.0], J-hjQL7vaX, 5652387]
[paragraph, [284.0, 989.0, 1260.0, 36.0], J-hjQL7vaX, 5652387]
[paragraph, [243.0, 1042.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1078.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1114.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1150.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1186.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1222.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1258.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1294.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1330.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1366.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1402.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1438.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1474.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1510.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1546.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1582.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1618.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1654.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1690.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1726.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1762.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1798.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1834.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1870.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1906.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1942.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 1978.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[paragraph, [243.0, 2014.0, 1260.0, 36.0], 4m52pKnjhB, 5652387]
[folio, [333.0, 2099.0, 385.0, 36.0], wC4le-7pPp, 5652387]
[folio, [333.0, 2135.0, 385.0, 36.0], wC4le-7pPp, 5652387]
