[1565, 1152]
[paragraph, [728.0, 116.0, 335.0, 36.0], shoonya_0sM2YYGGGPS0V9, 5712790]
[paragraph, [728.0, 152.0, 335.0, 36.0], shoonya_0sM2YYGGGPS0V9, 5712790]
[paragraph, [728.0, 188.0, 335.0, 36.0], shoonya_0sM2YYGGGPS0V9, 5712790]
[paragraph, [728.0, 224.0, 335.0, 36.0], shoonya_0sM2YYGGGPS0V9, 5712790]
[paragraph, [728.0, 260.0, 335.0, 36.0], shoonya_0sM2YYGGGPS0V9, 5712790]
[paragraph, [728.0, 296.0, 335.0, 36.0], shoonya_0sM2YYGGGPS0V9, 5712790]
[paragraph, [728.0, 332.0, 335.0, 36.0], shoonya_0sM2YYGGGPS0V9, 5712790]
[paragraph, [728.0, 368.0, 335.0, 36.0], shoonya_0sM2YYGGGPS0V9, 5712790]
[paragraph, [728.0, 404.0, 335.0, 36.0], shoonya_0sM2YYGGGPS0V9, 5712790]
[paragraph, [728.0, 440.0, 335.0, 36.0], shoonya_0sM2YYGGGPS0V9, 5712790]
[paragraph, [728.0, 476.0, 335.0, 36.0], shoonya_0sM2YYGGGPS0V9, 5712790]
[paragraph, [728.0, 512.0, 335.0, 36.0], shoonya_0sM2YYGGGPS0V9, 5712790]
[paragraph, [726.0, 559.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 595.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 631.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 667.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 703.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 739.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 775.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 811.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 847.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 883.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 919.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 955.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 991.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 1027.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 1063.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 1099.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 1135.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[paragraph, [726.0, 1171.0, 333.0, 36.0], shoonya_1s0BT0QJZ3ZQSP, 5712790]
[headline, [122.0, 757.0, 579.0, 37.5], shoonya_8sKOGSF8ONCJNR, 5712790]
[headline, [122.0, 794.5, 579.0, 37.5], shoonya_8sKOGSF8ONCJNR, 5712790]
[headline, [122.0, 832.0, 579.0, 37.5], shoonya_8sKOGSF8ONCJNR, 5712790]
[headline, [122.0, 869.5, 579.0, 37.5], shoonya_8sKOGSF8ONCJNR, 5712790]
[headline, [122.0, 907.0, 579.0, 37.5], shoonya_8sKOGSF8ONCJNR, 5712790]
[paragraph, [410.0, 974.0, 317.0, 36.0], shoonya_6sIS7D6L8R1J9C, 5712790]
[paragraph, [410.0, 1010.0, 317.0, 36.0], shoonya_6sIS7D6L8R1J9C, 5712790]
[paragraph, [410.0, 1046.0, 317.0, 36.0], shoonya_6sIS7D6L8R1J9C, 5712790]
[paragraph, [105.0, 1027.0, 304.0, 36.0], shoonya_9s58XJ2XTNFBM5, 5712790]
[paragraph, [105.0, 1063.0, 304.0, 36.0], shoonya_9s58XJ2XTNFBM5, 5712790]
[paragraph, [105.0, 1099.0, 304.0, 36.0], shoonya_9s58XJ2XTNFBM5, 5712790]
[paragraph, [105.0, 1135.0, 304.0, 36.0], shoonya_9s58XJ2XTNFBM5, 5712790]
[paragraph, [105.0, 1171.0, 304.0, 36.0], shoonya_9s58XJ2XTNFBM5, 5712790]
[paragraph, [105.0, 1207.0, 304.0, 36.0], shoonya_9s58XJ2XTNFBM5, 5712790]
[paragraph, [105.0, 1243.0, 304.0, 36.0], shoonya_9s58XJ2XTNFBM5, 5712790]
[paragraph, [105.0, 1279.0, 304.0, 36.0], shoonya_9s58XJ2XTNFBM5, 5712790]
[paragraph, [410.0, 1103.0, 321.0, 36.0], shoonya_7sONJ5YMDPNF24, 5712790]
[paragraph, [410.0, 1139.0, 321.0, 36.0], shoonya_7sONJ5YMDPNF24, 5712790]
[paragraph, [410.0, 1175.0, 321.0, 36.0], shoonya_7sONJ5YMDPNF24, 5712790]
[paragraph, [410.0, 1211.0, 321.0, 36.0], shoonya_7sONJ5YMDPNF24, 5712790]
[paragraph, [410.0, 1247.0, 321.0, 36.0], shoonya_7sONJ5YMDPNF24, 5712790]
