[3509, 2480]
[paragraph, [341.0, 399.0, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 451.5, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 504.0, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 556.5, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 609.0, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 661.5, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 714.0, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 766.5, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 819.0, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 871.5, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 924.0, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 976.5, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 1029.0, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 1081.5, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 1134.0, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 1186.5, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 1239.0, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 1291.5, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 1344.0, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [341.0, 1396.5, 1810.0, 52.5], kR4-5ibSh3, 5724320]
[paragraph, [325.0, 1700.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 1752.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 1805.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 1857.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 1910.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 1962.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2015.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2067.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2120.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2172.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2225.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2277.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2330.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2382.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2435.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2487.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2540.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2592.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2645.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2697.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2750.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2802.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2855.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2907.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 2960.0, 1838.0, 52.5], NrN1vOsnF_, 5724320]
[paragraph, [325.0, 3012.5, 1838.0, 52.5], NrN1vOsnF_, 5724320]
