[792, 612]
[folio, [262.0, 41.0, 70.0, 18.0], dd0H7wVaaF, 6492989]
[paragraph, [83.0, 82.0, 420.0, 18.0], ZnpsucU2fR, 6492989]
[paragraph, [83.0, 100.0, 420.0, 18.0], ZnpsucU2fR, 6492989]
[paragraph, [83.0, 118.0, 420.0, 18.0], ZnpsucU2fR, 6492989]
[paragraph, [94.0, 149.0, 407.0, 18.0], HlpHASq8MD, 6492989]
[paragraph, [94.0, 167.0, 407.0, 18.0], HlpHASq8MD, 6492989]
[paragraph, [86.0, 189.0, 413.0, 18.0], cBVdQPKA3Z, 6492989]
[paragraph, [86.0, 207.0, 413.0, 18.0], cBVdQPKA3Z, 6492989]
[paragraph, [88.0, 229.0, 420.0, 18.0], ZNV_GFPxCu, 6492989]
[paragraph, [88.0, 247.0, 420.0, 18.0], ZNV_GFPxCu, 6492989]
[paragraph, [88.0, 268.0, 415.0, 18.0], ymErbB9n55, 6492989]
[paragraph, [88.0, 286.0, 415.0, 18.0], ymErbB9n55, 6492989]
[paragraph, [91.0, 309.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 327.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 345.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 363.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 381.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 399.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 417.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 435.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 453.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 471.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 489.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 507.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 525.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 543.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 561.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [91.0, 579.0, 414.0, 18.0], ytEtbMgQT0, 6492989]
[paragraph, [97.0, 611.0, 412.0, 18.0], hFqUKvSl-n, 6492989]
[paragraph, [97.0, 629.0, 412.0, 18.0], hFqUKvSl-n, 6492989]
[paragraph, [97.0, 647.0, 412.0, 18.0], hFqUKvSl-n, 6492989]
[paragraph, [97.0, 665.0, 412.0, 18.0], hFqUKvSl-n, 6492989]
[paragraph, [97.0, 683.0, 412.0, 18.0], hFqUKvSl-n, 6492989]
