[1447, 1063]
[folio, [444.0, 57.0, 199.0, 18.0], WRSB7xyhEP, 5762302]
[paragraph, [536.0, 87.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [536.0, 105.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [536.0, 123.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [536.0, 141.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [536.0, 159.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [536.0, 177.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [536.0, 195.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [536.0, 213.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [536.0, 231.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [536.0, 249.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [536.0, 267.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [536.0, 285.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [536.0, 303.0, 433.0, 18.0], AruLp2lrIK, 5762302]
[paragraph, [85.0, 90.0, 442.0, 18.0], MHtkd_ebiz, 5762302]
[paragraph, [85.0, 108.0, 442.0, 18.0], MHtkd_ebiz, 5762302]
[paragraph, [85.0, 126.0, 442.0, 18.0], MHtkd_ebiz, 5762302]
[paragraph, [87.0, 159.0, 441.0, 18.0], o2wk8tv25B, 5762302]
[paragraph, [87.0, 177.0, 441.0, 18.0], o2wk8tv25B, 5762302]
[paragraph, [87.0, 195.0, 441.0, 18.0], o2wk8tv25B, 5762302]
[paragraph, [87.0, 213.0, 441.0, 18.0], o2wk8tv25B, 5762302]
[paragraph, [87.0, 231.0, 441.0, 18.0], o2wk8tv25B, 5762302]
[paragraph, [87.0, 249.0, 441.0, 18.0], o2wk8tv25B, 5762302]
[paragraph, [87.0, 267.0, 441.0, 18.0], o2wk8tv25B, 5762302]
[paragraph, [89.0, 302.0, 439.0, 18.0], a6jS9RyOz7, 5762302]
[paragraph, [89.0, 320.0, 439.0, 18.0], a6jS9RyOz7, 5762302]
[paragraph, [89.0, 338.0, 439.0, 18.0], a6jS9RyOz7, 5762302]
[paragraph, [89.0, 356.0, 439.0, 18.0], a6jS9RyOz7, 5762302]
[paragraph, [89.0, 374.0, 439.0, 18.0], a6jS9RyOz7, 5762302]
[paragraph, [89.0, 392.0, 439.0, 18.0], a6jS9RyOz7, 5762302]
[paragraph, [89.0, 410.0, 439.0, 18.0], a6jS9RyOz7, 5762302]
[paragraph, [89.0, 428.0, 439.0, 18.0], a6jS9RyOz7, 5762302]
[paragraph, [535.0, 334.0, 435.0, 18.0], QfHA5ZwjXp, 5762302]
[paragraph, [535.0, 352.0, 435.0, 18.0], QfHA5ZwjXp, 5762302]
[paragraph, [535.0, 370.0, 435.0, 18.0], QfHA5ZwjXp, 5762302]
[paragraph, [535.0, 388.0, 435.0, 18.0], QfHA5ZwjXp, 5762302]
[paragraph, [535.0, 406.0, 435.0, 18.0], QfHA5ZwjXp, 5762302]
[paragraph, [535.0, 424.0, 435.0, 18.0], QfHA5ZwjXp, 5762302]
[paragraph, [535.0, 442.0, 435.0, 18.0], QfHA5ZwjXp, 5762302]
[section-title, [562.0, 484.0, 413.0, 30.0], uToBHgeb8Q, 5762302]
[section-title, [562.0, 514.0, 413.0, 30.0], uToBHgeb8Q, 5762302]
[section-title, [562.0, 544.0, 413.0, 30.0], uToBHgeb8Q, 5762302]
[section-title, [562.0, 574.0, 413.0, 30.0], uToBHgeb8Q, 5762302]
[section-title, [562.0, 604.0, 413.0, 30.0], uToBHgeb8Q, 5762302]
[paragraph, [93.0, 672.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 690.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 708.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 726.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 744.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 762.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 780.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 798.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 816.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 834.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 852.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 870.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 888.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 906.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 924.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 942.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 960.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 978.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 996.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1014.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1032.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1050.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1068.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1086.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1104.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1122.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1140.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1158.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1176.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1194.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1212.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1230.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1248.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1266.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1284.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1302.0, 678.0, 18.0], ixBArQPUcl, 5762302]
[paragraph, [93.0, 1320.0, 678.0, 18.0], ixBArQPUcl, 5762302]
