[1978, 1356]
[ordered-list, [106.0, 193.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 229.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 265.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 301.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 337.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 373.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 409.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 445.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 481.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 517.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 553.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 589.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 625.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 661.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 697.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 733.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 769.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 805.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 841.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 877.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 913.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 949.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 985.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1021.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1057.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1093.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1129.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1165.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1201.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1237.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1273.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1309.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1345.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1381.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1417.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1453.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1489.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1525.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1561.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1597.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1633.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1669.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1705.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1741.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1777.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
[ordered-list, [106.0, 1813.0, 1164.0, 36.0], shoonya_0sKM1VXD34A9BS, 5774279]
