[2200, 1700]
[folio, [194.0, 238.0, 135.0, 36.0], shoonya_2sECKI7AWMFLTQ, 5688743]
[folio, [191.0, 329.0, 97.0, 36.0], iW4-E7Kvto, 5688743]
[ordered-list, [186.0, 495.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[ordered-list, [186.0, 531.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[ordered-list, [186.0, 567.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[ordered-list, [186.0, 603.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[ordered-list, [186.0, 639.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[ordered-list, [186.0, 675.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[ordered-list, [186.0, 711.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[ordered-list, [186.0, 747.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[ordered-list, [186.0, 783.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[ordered-list, [186.0, 819.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[ordered-list, [186.0, 855.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[ordered-list, [186.0, 891.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[ordered-list, [186.0, 927.0, 1302.0, 36.0], shoonya_1s1BH2G5OZOUNM, 5688743]
[unordered-list, [255.0, 1140.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1176.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1212.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1248.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1284.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1320.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1356.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1392.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1428.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1464.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1500.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1536.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1572.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1608.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1644.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1680.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1716.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1752.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1788.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1824.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1860.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1896.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
[unordered-list, [255.0, 1932.0, 894.0, 36.0], shoonya_3sURCR46YVK6EU, 5688743]
