[1806, 1178]
[paragraph, [147.0, 78.0, 971.0, 36.0], 8lQZ0zbkCV, 5750790]
[paragraph, [147.0, 114.0, 971.0, 36.0], 8lQZ0zbkCV, 5750790]
[paragraph, [147.0, 150.0, 971.0, 36.0], 8lQZ0zbkCV, 5750790]
[paragraph, [147.0, 186.0, 971.0, 36.0], 8lQZ0zbkCV, 5750790]
[paragraph, [147.0, 222.0, 971.0, 36.0], 8lQZ0zbkCV, 5750790]
[paragraph, [147.0, 258.0, 971.0, 36.0], 8lQZ0zbkCV, 5750790]
[paragraph, [231.0, 297.0, 636.0, 36.0], 8cli8B-LVe, 5750790]
[paragraph, [231.0, 333.0, 636.0, 36.0], 8cli8B-LVe, 5750790]
[reference, [782.0, 394.0, 306.0, 36.0], shoonya_1sF1XKF1OOGNS0, 5750790]
[paragraph, [218.0, 427.0, 660.0, 36.0], iZvzmTrDBN, 5750790]
[paragraph, [218.0, 463.0, 660.0, 36.0], iZvzmTrDBN, 5750790]
[reference, [798.0, 529.0, 293.0, 36.0], shoonya_4sFN9R7HHROBV4, 5750790]
[paragraph, [160.0, 567.0, 912.0, 36.0], rAr2WBXX6C, 5750790]
[paragraph, [227.0, 616.0, 638.0, 36.0], 41eb8N2Q4S, 5750790]
[paragraph, [227.0, 652.0, 638.0, 36.0], 41eb8N2Q4S, 5750790]
[reference, [799.0, 705.0, 288.0, 36.0], shoonya_2sRC3T0KEB0HKQ, 5750790]
[paragraph, [154.0, 738.0, 948.0, 36.0], lByzReve_O, 5750790]
[paragraph, [154.0, 774.0, 948.0, 36.0], lByzReve_O, 5750790]
[paragraph, [154.0, 810.0, 948.0, 36.0], lByzReve_O, 5750790]
[paragraph, [154.0, 846.0, 948.0, 36.0], lByzReve_O, 5750790]
[paragraph, [154.0, 882.0, 948.0, 36.0], lByzReve_O, 5750790]
[paragraph, [154.0, 918.0, 948.0, 36.0], lByzReve_O, 5750790]
[paragraph, [148.0, 962.0, 950.0, 36.0], shoonya_3sCYM6FC2V07D3, 5750790]
[paragraph, [148.0, 998.0, 950.0, 36.0], shoonya_3sCYM6FC2V07D3, 5750790]
[paragraph, [148.0, 1034.0, 950.0, 36.0], shoonya_3sCYM6FC2V07D3, 5750790]
[paragraph, [148.0, 1070.0, 950.0, 36.0], shoonya_3sCYM6FC2V07D3, 5750790]
[paragraph, [148.0, 1106.0, 950.0, 36.0], shoonya_3sCYM6FC2V07D3, 5750790]
[paragraph, [166.0, 1144.0, 924.0, 36.0], shoonya_0sHHAPEUAD1TZT, 5750790]
[paragraph, [166.0, 1180.0, 924.0, 36.0], shoonya_0sHHAPEUAD1TZT, 5750790]
[paragraph, [166.0, 1216.0, 924.0, 36.0], shoonya_0sHHAPEUAD1TZT, 5750790]
[paragraph, [166.0, 1252.0, 924.0, 36.0], shoonya_0sHHAPEUAD1TZT, 5750790]
[paragraph, [166.0, 1288.0, 924.0, 36.0], shoonya_0sHHAPEUAD1TZT, 5750790]
[paragraph, [166.0, 1324.0, 924.0, 36.0], shoonya_0sHHAPEUAD1TZT, 5750790]
[paragraph, [166.0, 1360.0, 924.0, 36.0], shoonya_0sHHAPEUAD1TZT, 5750790]
[paragraph, [166.0, 1396.0, 924.0, 36.0], shoonya_0sHHAPEUAD1TZT, 5750790]
[paragraph, [166.0, 1432.0, 924.0, 36.0], shoonya_0sHHAPEUAD1TZT, 5750790]
[paragraph, [166.0, 1468.0, 924.0, 36.0], shoonya_0sHHAPEUAD1TZT, 5750790]
[paragraph, [166.0, 1504.0, 924.0, 36.0], shoonya_0sHHAPEUAD1TZT, 5750790]
[paragraph, [166.0, 1540.0, 924.0, 36.0], shoonya_0sHHAPEUAD1TZT, 5750790]
[folio, [573.0, 1623.0, 150.0, 36.0], _esP0y7qY0, 5750790]
