[1273, 854]
[paragraph, [51.0, 31.0, 770.0, 18.0], shoonya_0sHFM4VW0LK9RP, 5750445]
[paragraph, [51.0, 49.0, 770.0, 18.0], shoonya_0sHFM4VW0LK9RP, 5750445]
[paragraph, [51.0, 67.0, 770.0, 18.0], shoonya_0sHFM4VW0LK9RP, 5750445]
[paragraph, [51.0, 85.0, 770.0, 18.0], shoonya_0sHFM4VW0LK9RP, 5750445]
[paragraph, [51.0, 103.0, 770.0, 18.0], shoonya_0sHFM4VW0LK9RP, 5750445]
[paragraph, [51.0, 121.0, 770.0, 18.0], shoonya_0sHFM4VW0LK9RP, 5750445]
[paragraph, [51.0, 139.0, 770.0, 18.0], shoonya_0sHFM4VW0LK9RP, 5750445]
[paragraph, [51.0, 157.0, 770.0, 18.0], shoonya_0sHFM4VW0LK9RP, 5750445]
[paragraph, [51.0, 175.0, 770.0, 18.0], shoonya_0sHFM4VW0LK9RP, 5750445]
[paragraph, [51.0, 193.0, 770.0, 18.0], shoonya_0sHFM4VW0LK9RP, 5750445]
[paragraph, [51.0, 211.0, 770.0, 18.0], shoonya_0sHFM4VW0LK9RP, 5750445]
[paragraph, [44.0, 239.0, 777.0, 18.0], shoonya_1sXS5E8SM5X7P9, 5750445]
[paragraph, [44.0, 257.0, 777.0, 18.0], shoonya_1sXS5E8SM5X7P9, 5750445]
[paragraph, [44.0, 275.0, 777.0, 18.0], shoonya_1sXS5E8SM5X7P9, 5750445]
[paragraph, [44.0, 293.0, 777.0, 18.0], shoonya_1sXS5E8SM5X7P9, 5750445]
[paragraph, [44.0, 311.0, 777.0, 18.0], shoonya_1sXS5E8SM5X7P9, 5750445]
[paragraph, [44.0, 329.0, 777.0, 18.0], shoonya_1sXS5E8SM5X7P9, 5750445]
[paragraph, [49.0, 362.0, 776.0, 18.0], wk_gAbZDjq, 5750445]
[paragraph, [49.0, 380.0, 776.0, 18.0], wk_gAbZDjq, 5750445]
[paragraph, [49.0, 398.0, 776.0, 18.0], wk_gAbZDjq, 5750445]
[paragraph, [49.0, 416.0, 776.0, 18.0], wk_gAbZDjq, 5750445]
[paragraph, [24.0, 442.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 460.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 478.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 496.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 514.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 532.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 550.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 568.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 586.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 604.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 622.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 640.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 658.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 676.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
[paragraph, [24.0, 694.0, 801.0, 18.0], xA6lkrGI5U, 5750445]
