[1387, 987]
[paragraph, [88.0, 94.0, 785.0, 18.0], shoonya_0s2JGZN85N82AY, 5653096]
[paragraph, [88.0, 112.0, 785.0, 18.0], shoonya_0s2JGZN85N82AY, 5653096]
[paragraph, [88.0, 130.0, 785.0, 18.0], shoonya_0s2JGZN85N82AY, 5653096]
[paragraph, [88.0, 148.0, 785.0, 18.0], shoonya_0s2JGZN85N82AY, 5653096]
[paragraph, [88.0, 166.0, 785.0, 18.0], shoonya_0s2JGZN85N82AY, 5653096]
[paragraph, [88.0, 184.0, 785.0, 18.0], shoonya_0s2JGZN85N82AY, 5653096]
[paragraph, [88.0, 202.0, 785.0, 18.0], shoonya_0s2JGZN85N82AY, 5653096]
[paragraph, [88.0, 220.0, 785.0, 18.0], shoonya_0s2JGZN85N82AY, 5653096]
[paragraph, [88.0, 238.0, 785.0, 18.0], shoonya_0s2JGZN85N82AY, 5653096]
[paragraph, [90.0, 282.0, 742.0, 18.0], Jnqyxlx1ns, 5653096]
[paragraph, [90.0, 300.0, 742.0, 18.0], Jnqyxlx1ns, 5653096]
[paragraph, [90.0, 318.0, 742.0, 18.0], Jnqyxlx1ns, 5653096]
[paragraph, [90.0, 336.0, 742.0, 18.0], Jnqyxlx1ns, 5653096]
[paragraph, [90.0, 354.0, 742.0, 18.0], Jnqyxlx1ns, 5653096]
[paragraph, [91.0, 402.0, 753.0, 18.0], _vx9wqJvlJ, 5653096]
[paragraph, [91.0, 420.0, 753.0, 18.0], _vx9wqJvlJ, 5653096]
[paragraph, [91.0, 438.0, 753.0, 18.0], _vx9wqJvlJ, 5653096]
[paragraph, [91.0, 456.0, 753.0, 18.0], _vx9wqJvlJ, 5653096]
[paragraph, [91.0, 474.0, 753.0, 18.0], _vx9wqJvlJ, 5653096]
[paragraph, [91.0, 492.0, 753.0, 18.0], _vx9wqJvlJ, 5653096]
[paragraph, [91.0, 510.0, 753.0, 18.0], _vx9wqJvlJ, 5653096]
[paragraph, [91.0, 528.0, 753.0, 18.0], _vx9wqJvlJ, 5653096]
[paragraph, [91.0, 546.0, 753.0, 18.0], _vx9wqJvlJ, 5653096]
[paragraph, [91.0, 564.0, 753.0, 18.0], _vx9wqJvlJ, 5653096]
[paragraph, [91.0, 582.0, 753.0, 18.0], _vx9wqJvlJ, 5653096]
[paragraph, [91.0, 600.0, 753.0, 18.0], _vx9wqJvlJ, 5653096]
[paragraph, [91.0, 651.0, 158.0, 18.0], shoonya_3s9QN4PIJ4GJMJ, 5653096]
[paragraph, [91.0, 669.0, 158.0, 18.0], shoonya_3s9QN4PIJ4GJMJ, 5653096]
[paragraph, [93.0, 710.0, 405.0, 18.0], 2kwCGPy26n, 5653096]
[paragraph, [93.0, 728.0, 405.0, 18.0], 2kwCGPy26n, 5653096]
[paragraph, [91.0, 772.0, 789.0, 18.0], Cogs54t2Mi, 5653096]
[paragraph, [91.0, 790.0, 789.0, 18.0], Cogs54t2Mi, 5653096]
[paragraph, [91.0, 808.0, 789.0, 18.0], Cogs54t2Mi, 5653096]
[paragraph, [91.0, 826.0, 789.0, 18.0], Cogs54t2Mi, 5653096]
[paragraph, [91.0, 844.0, 789.0, 18.0], Cogs54t2Mi, 5653096]
[paragraph, [91.0, 862.0, 789.0, 18.0], Cogs54t2Mi, 5653096]
[paragraph, [91.0, 880.0, 789.0, 18.0], Cogs54t2Mi, 5653096]
[paragraph, [91.0, 898.0, 789.0, 18.0], Cogs54t2Mi, 5653096]
[paragraph, [91.0, 916.0, 789.0, 18.0], Cogs54t2Mi, 5653096]
[paragraph, [94.0, 958.0, 400.0, 18.0], shoonya_2sXZ4HLWZFOIJU, 5653096]
[paragraph, [94.0, 976.0, 400.0, 18.0], shoonya_2sXZ4HLWZFOIJU, 5653096]
[paragraph, [94.0, 994.0, 400.0, 18.0], shoonya_2sXZ4HLWZFOIJU, 5653096]
[paragraph, [89.0, 1020.0, 766.0, 18.0], shoonya_1s7A6KGYSFNULC, 5653096]
[paragraph, [89.0, 1038.0, 766.0, 18.0], shoonya_1s7A6KGYSFNULC, 5653096]
[paragraph, [89.0, 1056.0, 766.0, 18.0], shoonya_1s7A6KGYSFNULC, 5653096]
[paragraph, [89.0, 1074.0, 766.0, 18.0], shoonya_1s7A6KGYSFNULC, 5653096]
[paragraph, [89.0, 1092.0, 766.0, 18.0], shoonya_1s7A6KGYSFNULC, 5653096]
[paragraph, [89.0, 1110.0, 766.0, 18.0], shoonya_1s7A6KGYSFNULC, 5653096]
[paragraph, [89.0, 1128.0, 766.0, 18.0], shoonya_1s7A6KGYSFNULC, 5653096]
[paragraph, [89.0, 1146.0, 766.0, 18.0], shoonya_1s7A6KGYSFNULC, 5653096]
[paragraph, [89.0, 1164.0, 766.0, 18.0], shoonya_1s7A6KGYSFNULC, 5653096]
