[709, 412]
[folio, [180.0, 36.0, 67.0, 18.0], Zed7DI9snu, 5740489]
[paragraph, [24.0, 62.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 80.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 98.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 116.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 134.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 152.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 170.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 188.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 206.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 224.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 242.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 260.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 278.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 296.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 314.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 332.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 350.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 368.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 386.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 404.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 422.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 440.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 458.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 476.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 494.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 512.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 530.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 548.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 566.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 584.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 602.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 620.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [24.0, 638.0, 179.0, 18.0], 6N1uBP9lIr, 5740489]
[paragraph, [208.0, 62.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [208.0, 80.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [208.0, 98.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [208.0, 116.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [208.0, 134.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [208.0, 152.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [208.0, 170.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [208.0, 188.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [208.0, 206.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [208.0, 224.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [208.0, 242.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [208.0, 260.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [208.0, 278.0, 184.0, 18.0], 64vH4ocRUS, 5740489]
[paragraph, [220.0, 303.0, 166.0, 18.0], UVEdlq6khQ, 5740489]
[paragraph, [220.0, 321.0, 166.0, 18.0], UVEdlq6khQ, 5740489]
[paragraph, [220.0, 339.0, 166.0, 18.0], UVEdlq6khQ, 5740489]
[paragraph, [210.0, 467.0, 168.0, 18.0], VAwmYJsp84, 5740489]
[paragraph, [210.0, 485.0, 168.0, 18.0], VAwmYJsp84, 5740489]
[paragraph, [210.0, 503.0, 168.0, 18.0], VAwmYJsp84, 5740489]
[paragraph, [210.0, 521.0, 168.0, 18.0], VAwmYJsp84, 5740489]
[paragraph, [210.0, 539.0, 168.0, 18.0], VAwmYJsp84, 5740489]
[paragraph, [210.0, 557.0, 168.0, 18.0], VAwmYJsp84, 5740489]
[paragraph, [210.0, 575.0, 168.0, 18.0], VAwmYJsp84, 5740489]
[paragraph, [210.0, 593.0, 168.0, 18.0], VAwmYJsp84, 5740489]
[paragraph, [210.0, 611.0, 168.0, 18.0], VAwmYJsp84, 5740489]
[paragraph, [210.0, 629.0, 168.0, 18.0], VAwmYJsp84, 5740489]
[paragraph, [210.0, 647.0, 168.0, 18.0], VAwmYJsp84, 5740489]
