[792, 612]
[chapter-title, [239.0, 295.0, 132.0, 30.0], shoonya_0sA227DD52O4AA, 5759829]
[chapter-title, [239.0, 325.0, 132.0, 30.0], shoonya_0sA227DD52O4AA, 5759829]
[paragraph, [61.0, 452.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 470.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 488.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 506.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 524.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 542.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 560.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 578.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 596.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 614.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 632.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 650.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 668.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
[paragraph, [61.0, 686.0, 487.0, 18.0], shoonya_3sOMGPUYGXJUWJ, 5759829]
