[2320, 1767]
[paragraph, [386.0, 200.0, 1173.0, 36.0], shoonya_6sB07Z4GNITOVY, 5734471]
[paragraph, [386.0, 236.0, 1173.0, 36.0], shoonya_6sB07Z4GNITOVY, 5734471]
[paragraph, [386.0, 272.0, 1173.0, 36.0], shoonya_6sB07Z4GNITOVY, 5734471]
[paragraph, [383.0, 353.0, 1177.0, 36.0], shoonya_1sE7JR0S1TIDPT, 5734471]
[paragraph, [383.0, 389.0, 1177.0, 36.0], shoonya_1sE7JR0S1TIDPT, 5734471]
[paragraph, [383.0, 425.0, 1177.0, 36.0], shoonya_1sE7JR0S1TIDPT, 5734471]
[paragraph, [383.0, 461.0, 1177.0, 36.0], shoonya_1sE7JR0S1TIDPT, 5734471]
[paragraph, [383.0, 497.0, 1177.0, 36.0], shoonya_1sE7JR0S1TIDPT, 5734471]
[paragraph, [383.0, 533.0, 1177.0, 36.0], shoonya_1sE7JR0S1TIDPT, 5734471]
[paragraph, [383.0, 569.0, 1177.0, 36.0], shoonya_1sE7JR0S1TIDPT, 5734471]
[paragraph, [383.0, 605.0, 1177.0, 36.0], shoonya_1sE7JR0S1TIDPT, 5734471]
[paragraph, [383.0, 641.0, 1177.0, 36.0], shoonya_1sE7JR0S1TIDPT, 5734471]
[paragraph, [383.0, 677.0, 1177.0, 36.0], shoonya_1sE7JR0S1TIDPT, 5734471]
[paragraph, [383.0, 713.0, 1177.0, 36.0], shoonya_1sE7JR0S1TIDPT, 5734471]
[paragraph, [379.0, 802.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 838.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 874.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 910.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 946.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 982.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 1018.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 1054.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 1090.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 1126.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 1162.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 1198.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 1234.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [379.0, 1270.0, 1180.0, 36.0], shoonya_0sFJBJQDBF1UIH, 5734471]
[paragraph, [374.0, 1469.0, 1184.0, 36.0], shoonya_3sSRW8NW2TN3BM, 5734471]
[paragraph, [374.0, 1505.0, 1184.0, 36.0], shoonya_3sSRW8NW2TN3BM, 5734471]
[paragraph, [374.0, 1541.0, 1184.0, 36.0], shoonya_3sSRW8NW2TN3BM, 5734471]
[paragraph, [374.0, 1577.0, 1184.0, 36.0], shoonya_3sSRW8NW2TN3BM, 5734471]
[paragraph, [374.0, 1613.0, 1184.0, 36.0], shoonya_3sSRW8NW2TN3BM, 5734471]
[paragraph, [374.0, 1649.0, 1184.0, 36.0], shoonya_3sSRW8NW2TN3BM, 5734471]
[paragraph, [369.0, 1740.0, 1197.0, 36.0], shoonya_2sHK0SEBESUDO8, 5734471]
[paragraph, [369.0, 1776.0, 1197.0, 36.0], shoonya_2sHK0SEBESUDO8, 5734471]
[paragraph, [369.0, 1812.0, 1197.0, 36.0], shoonya_2sHK0SEBESUDO8, 5734471]
[paragraph, [369.0, 1848.0, 1197.0, 36.0], shoonya_2sHK0SEBESUDO8, 5734471]
[paragraph, [369.0, 1884.0, 1197.0, 36.0], shoonya_2sHK0SEBESUDO8, 5734471]
[paragraph, [369.0, 1920.0, 1197.0, 36.0], shoonya_2sHK0SEBESUDO8, 5734471]
