[1200, 825]
[paragraph, [135.0, 107.0, 548.0, 18.0], shoonya_0sQZXHU1ZNBNO9, 5691327]
[paragraph, [135.0, 125.0, 548.0, 18.0], shoonya_0sQZXHU1ZNBNO9, 5691327]
[paragraph, [135.0, 143.0, 548.0, 18.0], shoonya_0sQZXHU1ZNBNO9, 5691327]
[paragraph, [135.0, 161.0, 548.0, 18.0], shoonya_0sQZXHU1ZNBNO9, 5691327]
[paragraph, [135.0, 179.0, 548.0, 18.0], shoonya_0sQZXHU1ZNBNO9, 5691327]
[paragraph, [135.0, 197.0, 548.0, 18.0], shoonya_0sQZXHU1ZNBNO9, 5691327]
[paragraph, [135.0, 215.0, 548.0, 18.0], shoonya_0sQZXHU1ZNBNO9, 5691327]
[paragraph, [135.0, 233.0, 548.0, 18.0], shoonya_0sQZXHU1ZNBNO9, 5691327]
[paragraph, [135.0, 251.0, 548.0, 18.0], shoonya_0sQZXHU1ZNBNO9, 5691327]
[paragraph, [135.0, 269.0, 548.0, 18.0], shoonya_0sQZXHU1ZNBNO9, 5691327]
[paragraph, [135.0, 291.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 309.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 327.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 345.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 363.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 381.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 399.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 417.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 435.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 453.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 471.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 489.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 507.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 525.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 543.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 561.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 579.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 597.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 615.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [135.0, 633.0, 560.0, 18.0], d6xZ6Ytjat, 5691327]
[paragraph, [138.0, 681.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 699.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 717.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 735.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 753.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 771.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 789.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 807.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 825.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 843.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 861.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 879.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 897.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 915.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 933.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 951.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 969.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 987.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 1005.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 1023.0, 555.0, 18.0], gsciRinZ26, 5691327]
[paragraph, [138.0, 1041.0, 555.0, 18.0], gsciRinZ26, 5691327]
