[3509, 2482]
[folio, [841.0, 212.0, 480.0, 52.5], shoonya_1sIMR9B919KXAW, 5691634]
[paragraph, [187.0, 326.0, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 378.5, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 431.0, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 483.5, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 536.0, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 588.5, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 641.0, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 693.5, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 746.0, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 798.5, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 851.0, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 903.5, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 956.0, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 1008.5, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 1061.0, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [187.0, 1113.5, 1834.0, 52.5], shoonya_0sILOVV7VA0LKY, 5691634]
[paragraph, [250.0, 1189.0, 1126.0, 52.5], Nvu2aMHyvc, 5691634]
[paragraph, [187.0, 1267.0, 1818.0, 52.5], 0iZkQlRm8x, 5691634]
[paragraph, [187.0, 1319.5, 1818.0, 52.5], 0iZkQlRm8x, 5691634]
[paragraph, [187.0, 1372.0, 1818.0, 52.5], 0iZkQlRm8x, 5691634]
[paragraph, [187.0, 1424.5, 1818.0, 52.5], 0iZkQlRm8x, 5691634]
[paragraph, [187.0, 1477.0, 1818.0, 52.5], 0iZkQlRm8x, 5691634]
[paragraph, [187.0, 1529.5, 1818.0, 52.5], 0iZkQlRm8x, 5691634]
[paragraph, [187.0, 1582.0, 1818.0, 52.5], 0iZkQlRm8x, 5691634]
[paragraph, [187.0, 1634.5, 1818.0, 52.5], 0iZkQlRm8x, 5691634]
[paragraph, [187.0, 1687.0, 1818.0, 52.5], 0iZkQlRm8x, 5691634]
[paragraph, [256.0, 1740.0, 911.0, 52.5], 4t1kGEn4JA, 5691634]
[paragraph, [298.0, 1828.0, 902.0, 52.5], 8vYa5Ua5y8, 5691634]
[paragraph, [265.0, 1898.0, 1045.0, 52.5], U6Q4kyHe1Z, 5691634]
[paragraph, [294.0, 1979.0, 427.0, 52.5], ctBso3xB8e, 5691634]
[paragraph, [213.0, 2055.0, 1839.0, 52.5], shoonya_2sMHDH1YKUK4TX, 5691634]
[paragraph, [213.0, 2107.5, 1839.0, 52.5], shoonya_2sMHDH1YKUK4TX, 5691634]
[paragraph, [213.0, 2160.0, 1839.0, 52.5], shoonya_2sMHDH1YKUK4TX, 5691634]
[paragraph, [213.0, 2212.5, 1839.0, 52.5], shoonya_2sMHDH1YKUK4TX, 5691634]
[paragraph, [213.0, 2265.0, 1839.0, 52.5], shoonya_2sMHDH1YKUK4TX, 5691634]
[paragraph, [213.0, 2317.5, 1839.0, 52.5], shoonya_2sMHDH1YKUK4TX, 5691634]
[paragraph, [213.0, 2370.0, 1839.0, 52.5], shoonya_2sMHDH1YKUK4TX, 5691634]
[paragraph, [213.0, 2422.5, 1839.0, 52.5], shoonya_2sMHDH1YKUK4TX, 5691634]
[paragraph, [213.0, 2475.0, 1839.0, 52.5], shoonya_2sMHDH1YKUK4TX, 5691634]
[paragraph, [213.0, 2527.5, 1839.0, 52.5], shoonya_2sMHDH1YKUK4TX, 5691634]
[paragraph, [213.0, 2580.0, 1839.0, 52.5], shoonya_2sMHDH1YKUK4TX, 5691634]
[paragraph, [213.0, 2632.5, 1839.0, 52.5], shoonya_2sMHDH1YKUK4TX, 5691634]
[paragraph, [291.0, 2685.0, 964.0, 52.5], 4ZGQyzazy2, 5691634]
[paragraph, [190.0, 2760.0, 1840.0, 52.5], W5IjcxuebV, 5691634]
[paragraph, [190.0, 2812.5, 1840.0, 52.5], W5IjcxuebV, 5691634]
[paragraph, [190.0, 2865.0, 1840.0, 52.5], W5IjcxuebV, 5691634]
[paragraph, [190.0, 2917.5, 1840.0, 52.5], W5IjcxuebV, 5691634]
[paragraph, [190.0, 2970.0, 1840.0, 52.5], W5IjcxuebV, 5691634]
[paragraph, [190.0, 3022.5, 1840.0, 52.5], W5IjcxuebV, 5691634]
[paragraph, [190.0, 3075.0, 1840.0, 52.5], W5IjcxuebV, 5691634]
[paragraph, [190.0, 3127.5, 1840.0, 52.5], W5IjcxuebV, 5691634]
[paragraph, [190.0, 3180.0, 1840.0, 52.5], W5IjcxuebV, 5691634]
[paragraph, [190.0, 3232.5, 1840.0, 52.5], W5IjcxuebV, 5691634]
[paragraph, [190.0, 3285.0, 1840.0, 52.5], W5IjcxuebV, 5691634]
