[798, 595]
[folio, [182.0, 26.0, 237.0, 18.0], BK_wa-FSA9, 6466257]
[folio, [66.0, 94.0, 61.0, 18.0], OyKSGHDn6S, 6466257]
[paragraph, [206.0, 118.0, 211.0, 18.0], NVzKwKstY9, 6466257]
[paragraph, [50.0, 140.0, 523.0, 18.0], Z844Mq9vUq, 6466257]
[paragraph, [50.0, 158.0, 523.0, 18.0], Z844Mq9vUq, 6466257]
[paragraph, [50.0, 176.0, 523.0, 18.0], Z844Mq9vUq, 6466257]
[paragraph, [50.0, 193.0, 524.0, 18.0], J5VCtnRJmf, 6466257]
[paragraph, [50.0, 211.0, 524.0, 18.0], J5VCtnRJmf, 6466257]
[paragraph, [50.0, 229.0, 524.0, 18.0], J5VCtnRJmf, 6466257]
[ordered-list, [52.0, 262.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 280.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 298.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 316.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 334.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 352.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 370.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 388.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 406.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 424.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 442.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 460.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 478.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 496.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 514.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 532.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 550.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 568.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 586.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 604.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 622.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 640.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[ordered-list, [52.0, 658.0, 520.0, 18.0], 2PGNTBewcI, 6466257]
[footnote, [52.0, 682.0, 523.0, 18.0], yVNq0GFiw5, 6466257]
[footnote, [52.0, 700.0, 523.0, 18.0], yVNq0GFiw5, 6466257]
[footnote, [52.0, 718.0, 523.0, 18.0], yVNq0GFiw5, 6466257]
