[690, 512]
[folio, [196.0, 36.0, 105.0, 18.0], shoonya_0sBSTE3OUTACLE, 6490945]
[paragraph, [30.0, 55.0, 218.0, 18.0], eaPbuuuhB1, 6490945]
[paragraph, [30.0, 73.0, 218.0, 18.0], eaPbuuuhB1, 6490945]
[paragraph, [30.0, 91.0, 218.0, 18.0], eaPbuuuhB1, 6490945]
[paragraph, [30.0, 109.0, 218.0, 18.0], eaPbuuuhB1, 6490945]
[paragraph, [30.0, 127.0, 218.0, 18.0], eaPbuuuhB1, 6490945]
[paragraph, [30.0, 145.0, 218.0, 18.0], eaPbuuuhB1, 6490945]
[paragraph, [30.0, 163.0, 218.0, 18.0], eaPbuuuhB1, 6490945]
[paragraph, [30.0, 181.0, 218.0, 18.0], eaPbuuuhB1, 6490945]
[paragraph, [30.0, 199.0, 218.0, 18.0], eaPbuuuhB1, 6490945]
[paragraph, [250.0, 61.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 79.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 97.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 115.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 133.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 151.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 169.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 187.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 205.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 223.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 241.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 259.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 277.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [250.0, 295.0, 238.0, 18.0], chrxnGxfkX, 6490945]
[paragraph, [31.0, 219.0, 215.0, 18.0], LnsTFgwEJl, 6490945]
[paragraph, [31.0, 237.0, 215.0, 18.0], LnsTFgwEJl, 6490945]
[paragraph, [31.0, 255.0, 215.0, 18.0], LnsTFgwEJl, 6490945]
[paragraph, [31.0, 273.0, 215.0, 18.0], LnsTFgwEJl, 6490945]
[paragraph, [28.0, 305.0, 215.0, 18.0], WCYB3ESIyo, 6490945]
[paragraph, [28.0, 323.0, 215.0, 18.0], WCYB3ESIyo, 6490945]
[paragraph, [28.0, 341.0, 215.0, 18.0], WCYB3ESIyo, 6490945]
[paragraph, [28.0, 359.0, 215.0, 18.0], WCYB3ESIyo, 6490945]
[paragraph, [28.0, 377.0, 215.0, 18.0], WCYB3ESIyo, 6490945]
[paragraph, [28.0, 395.0, 215.0, 18.0], WCYB3ESIyo, 6490945]
[paragraph, [28.0, 413.0, 215.0, 18.0], WCYB3ESIyo, 6490945]
[paragraph, [28.0, 431.0, 215.0, 18.0], WCYB3ESIyo, 6490945]
[paragraph, [28.0, 449.0, 215.0, 18.0], WCYB3ESIyo, 6490945]
[paragraph, [247.0, 321.0, 240.0, 18.0], YA3xlNw9Z5, 6490945]
[paragraph, [247.0, 339.0, 240.0, 18.0], YA3xlNw9Z5, 6490945]
[paragraph, [247.0, 357.0, 240.0, 18.0], YA3xlNw9Z5, 6490945]
[paragraph, [245.0, 377.0, 243.0, 18.0], U7YE1snb0r, 6490945]
[paragraph, [245.0, 395.0, 243.0, 18.0], U7YE1snb0r, 6490945]
[paragraph, [245.0, 413.0, 243.0, 18.0], U7YE1snb0r, 6490945]
[paragraph, [245.0, 431.0, 243.0, 18.0], U7YE1snb0r, 6490945]
[paragraph, [245.0, 449.0, 243.0, 18.0], U7YE1snb0r, 6490945]
[paragraph, [245.0, 467.0, 243.0, 18.0], U7YE1snb0r, 6490945]
[paragraph, [245.0, 485.0, 243.0, 18.0], U7YE1snb0r, 6490945]
[paragraph, [245.0, 503.0, 243.0, 18.0], U7YE1snb0r, 6490945]
[paragraph, [245.0, 521.0, 243.0, 18.0], U7YE1snb0r, 6490945]
[paragraph, [245.0, 539.0, 243.0, 18.0], U7YE1snb0r, 6490945]
[paragraph, [245.0, 557.0, 243.0, 18.0], U7YE1snb0r, 6490945]
[paragraph, [24.0, 476.0, 218.0, 18.0], 6lRxESGe9A, 6490945]
[paragraph, [24.0, 494.0, 218.0, 18.0], 6lRxESGe9A, 6490945]
[paragraph, [24.0, 512.0, 218.0, 18.0], 6lRxESGe9A, 6490945]
[paragraph, [24.0, 530.0, 218.0, 18.0], 6lRxESGe9A, 6490945]
[paragraph, [24.0, 548.0, 218.0, 18.0], 6lRxESGe9A, 6490945]
[paragraph, [24.0, 566.0, 218.0, 18.0], 6lRxESGe9A, 6490945]
[paragraph, [24.0, 584.0, 218.0, 18.0], 6lRxESGe9A, 6490945]
[paragraph, [24.0, 602.0, 218.0, 18.0], 6lRxESGe9A, 6490945]
[paragraph, [246.0, 578.0, 248.0, 18.0], dOu_Tw_CK7, 6490945]
[paragraph, [246.0, 596.0, 248.0, 18.0], dOu_Tw_CK7, 6490945]
[paragraph, [246.0, 614.0, 248.0, 18.0], dOu_Tw_CK7, 6490945]
