[1369, 844]
[folio, [100.0, 72.0, 115.0, 18.0], 6quiOGGyKm, 5782360]
[folio, [100.0, 90.0, 115.0, 18.0], 6quiOGGyKm, 5782360]
[folio, [290.0, 125.0, 259.0, 18.0], shoonya_5s9I5SC99VRSNQ, 5782360]
[section-title, [251.0, 170.0, 320.0, 30.0], shoonya_6sS8A09OGN9HVS, 5782360]
[section-title, [251.0, 200.0, 320.0, 30.0], shoonya_6sS8A09OGN9HVS, 5782360]
[ordered-list, [89.0, 263.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 281.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 299.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 317.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 335.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 353.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 371.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 389.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 407.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 425.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 443.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 461.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 479.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 497.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 515.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 533.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 551.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 569.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 587.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 605.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 623.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[ordered-list, [89.0, 641.0, 664.0, 18.0], T4Ku7Cwcb4, 5782360]
[sub-ordered-list, [99.0, 301.0, 644.0, 18.0], shoonya_0s6LYD202NGQBC, 5782360]
[sub-ordered-list, [99.0, 319.0, 644.0, 18.0], shoonya_0s6LYD202NGQBC, 5782360]
[sub-ordered-list, [99.0, 337.0, 644.0, 18.0], shoonya_0s6LYD202NGQBC, 5782360]
[sub-ordered-list, [99.0, 355.0, 644.0, 18.0], shoonya_0s6LYD202NGQBC, 5782360]
[sub-ordered-list, [99.0, 373.0, 644.0, 18.0], shoonya_0s6LYD202NGQBC, 5782360]
[sub-ordered-list, [99.0, 391.0, 644.0, 18.0], shoonya_0s6LYD202NGQBC, 5782360]
[sub-ordered-list, [99.0, 409.0, 644.0, 18.0], shoonya_0s6LYD202NGQBC, 5782360]
